,Consultas,Consultas de Atención Inmediata,Consultantes al Establecimiento,Consultantes Nuevos,Consultantes Asegurados,Médicos,Horas Médicas Programadas,Horas Médicas Efectivas,Consultorios Fisicos,Consultorios Funcionales,Egresos,Estancias,Pacientes dias,Dias cama disponible,Camas hospitalarias,Def. antes 48 hrs,Def. despues 48 hrs,Reingresos,Total I.Q.,Cirugia Mayor de AC,Cirugia Menor de MC,Cirugia Mayor de BC,Cirugia Menor de AR,Cirugia Menor de BR,Horas Uso Sala,Horas Programadas,Salas Quirúrgicas,Operaciones Suspendidas,Intervenciones Q Programadas,Total partos,Partos sin complicación,Partos con complicación,Sala de partos,Cesareas,Nacimientos,Nacidos vivos,Total de atenciones,Prioridad I,Prioridad II,Prioridad III,Prioridad IV,Sesiones Odontológicas,Trabajos Odontológicos,Consultantes de odontología,Odontólogos,Horas odontológicas efecivas,Horas odontológicas programadas,Consultorios fisicos Odontólogi,Consultorios funcional Odontó ,Recetas despachadas,Recetas despachadas C E,Análisis de laboratorio,Análisis de laboratorio C E,Exámenes radiológicos,Exámenes radiológicos C E,Placas radiológicas,Placas radiológicas C E,Mamografias Preventivas,Muestras Porcesas x PAP,3era. Dosis Pentavalente,Control de Enfermería,Control de nutrición,Control de Trabajo Social,Educación Grupal de enfermería,Educación Grupal de Nutrución,Educación Grupal Trabajo Social,Educación Grupal de Obstetricia,Psicoprofilaxis de Obstetricia,Visitas Domiciliarias de Enferm,Visitas Domiciliarias de Nutric,Visitas Domiciliarias de Obstet,Visitas Domiciliarias de T S,Atenciones Psicología,Psicoprofilaxis de Psicología,Visitas Domiciliarias de Psicol
H. I-NAYLAMP_per_2018-12,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H. I-OCTAVIO MONGRUT MUÑOZ_per_2018-01,12142,952,8216,886,8216,56,2705,2464,21,26,322,1209,1012,1395,45,0,3,6,207,,37,166,4,,237,282,2,6,138,128,87,41,1,39,128,127,4799,21,276,4362,140,1216,2578,683,6,496,504,4,6,65584,23894,40429,19929,2878,1944,3319,2217,251,278,39,1905,686,586,28,,12,20,16,10,,,19,238,5,
H. I-OCTAVIO MONGRUT MUÑOZ_per_2018-02,12054,838,5161,778,5161,58,2841,2486,21,30,346,1366,889,1260,45,0,5,4,173,,21,148,4,,183,216,2,4,108,170,113,57,1,53,170,170,4535,23,368,4024,120,1102,2235,449,6,424,472,4,6,62051,22918,46941,25690,2704,1826,2981,1969,118,503,38,2241,654,619,41,,16,16,16,14,,,42,139,2,
H. I-OCTAVIO MONGRUT MUÑOZ_per_2018-03,14203,889,4061,908,4061,59,3118,2918,21,35,335,1156,840,1302,42,0,2,3,193,,35,152,6,,189,258,2,7,153,158,105,53,1,53,158,158,4885,27,348,4310,200,1181,2393,470,5,492,524,4,5,69521,27982,48715,26372,2622,1743,2782,1928,132,411,52,2155,813,788,35,,14,21,14,15,,,24,177,2,
H. I-OCTAVIO MONGRUT MUÑOZ_per_2018-04,15538,893,3024,896,3024,64,3455,3221,21,35,337,1278,950,1304,43,0,0,5,190,,38,150,2,,220,270,2,8,139,141,92,49,1,49,141,141,4961,27,357,4391,186,951,2192,415,5,360,372,4,5,73815,30671,43631,20316,3051,2177,3012,2425,430,300,34,2357,884,761,36,,14,16,15,7,,,28,193,5,
H. I-OCTAVIO MONGRUT MUÑOZ_per_2018-05,15977,1011,2658,962,2658,58,3437,3283,21,34,326,1292,935,1448,47,3,0,2,216,,43,171,2,,286,288,2,4,154,135,85,50,1,48,135,134,5254,23,391,2660,2180,952,2613,420,5,364,368,4,4,79343,31973,52338,24571,2773,1878,2552,2062,313,383,33,2446,864,834,33,,17,15,13,7,,,23,184,4,
H. I-OCTAVIO MONGRUT MUÑOZ_per_2018-06,15809,933,2313,979,2313,62,3542,3397,21,37,339,1292,1056,1375,46,0,4,3,208,,27,175,6,,262,270,2,10,145,135,87,48,1,47,135,134,5286,28,409,2944,1905,1098,2598,418,5,397,413,4,4,79888,31956,51796,22944,3189,2300,3163,2459,398,482,30,2355,858,709,40,,13,21,16,1,,,23,166,4,
H. I-OCTAVIO MONGRUT MUÑOZ_per_2018-07,16144,979,2061,1030,2061,56,3525,3431,21,36,345,1454,1021,1472,47,0,5,5,230,,32,193,5,,289,294,2,15,167,149,89,60,1,58,149,149,4573,28,420,2444,1681,1081,2585,414,5,409,437,4,4,77166,31599,38206,26192,2655,1792,2506,2077,330,495,53,2564,744,874,32,,18,17,13,1,,,32,160,8,
H. I-OCTAVIO MONGRUT MUÑOZ_per_2018-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,0,0,0,
H. I-OCTAVIO MONGRUT MUÑOZ_per_2018-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,0,0,0,
H. I-OCTAVIO MONGRUT MUÑOZ_per_2018-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,0,0,0,
H. I-OCTAVIO MONGRUT MUÑOZ_per_2018-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,0,0,0,
H. I-OCTAVIO MONGRUT MUÑOZ_per_2018-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,0,0,0,
H. I-OXAPAMPA_per_2018-01,2587,,2079,43,2076,12,511,501,5,10,78,255,341,372,12,1,0,0,76,,24,28,5,19,89,83,1,0,63,7,4,3,1,3,7,7,650,2,130,517,1,746,1801,484,2,246,246,1,2,7597,3946,7139,6409,251,161,258,163,19,41,0,831,326,211,0,2,,1,0,28,0,0,0,0,,
H. I-OXAPAMPA_per_2018-02,2281,,1223,72,1220,12,468,463,5,10,72,221,283,308,11,1,1,0,76,,17,26,8,25,128,134,1,0,46,5,3,2,1,2,5,5,515,3,152,360,0,510,1208,267,2,162,162,1,2,7048,3736,6838,6173,223,153,239,165,25,72,5,1068,345,18,2,0,,2,0,9,0,0,0,0,,
H. I-OXAPAMPA_per_2018-03,2355,,1061,85,1056,15,467,471,5,10,84,254,335,372,12,0,1,0,90,,25,32,14,19,147,148,1,0,70,11,4,7,1,7,11,11,677,7,201,469,0,571,1158,247,2,182,182,1,2,7939,3967,5979,4904,275,183,284,186,10,66,6,1030,329,65,16,0,,3,8,50,0,1,0,0,,
H. I-OXAPAMPA_per_2018-04,2219,,715,61,712,13,420,430,5,10,84,214,295,330,11,0,0,0,85,,15,38,12,20,116,114,1,0,65,6,5,1,1,1,6,6,758,2,227,526,3,834,1698,299,2,272,274,1,2,7652,3857,7337,5195,232,124,234,127,7,69,1,887,345,165,1,0,,2,0,68,0,1,3,97,,
H. I-OXAPAMPA_per_2018-05,2458,,786,91,782,14,484,486,5,10,67,206,293,310,10,0,0,0,75,,25,8,18,24,100,103,1,0,50,6,4,2,1,1,6,6,782,6,222,554,0,856,1794,265,2,269,274,1,2,8244,4309,6275,5337,365,182,383,196,24,77,3,926,305,232,3,4,,0,9,22,0,0,5,87,,
H. I-OXAPAMPA_per_2018-06,2839,,728,127,724,14,617,593,5,10,108,302,381,420,14,0,0,0,75,,17,20,19,19,115,120,1,0,61,8,7,1,1,1,8,8,750,2,232,516,0,913,1997,276,2,280,280,1,2,9323,5045,6238,5248,387,262,391,262,24,63,5,1041,291,235,6,3,,3,8,50,6,2,1,120,,
H. I-OXAPAMPA_per_2018-07,2534,,586,119,579,14,492,503,5,10,91,278,370,403,13,2,1,1,75,,18,25,8,24,79,63,1,1,56,12,8,4,1,4,12,12,760,2,223,535,0,875,1789,236,2,268,268,1,2,8445,4264,5279,4345,394,282,413,300,6,47,5,1136,240,251,5,0,,0,0,51,0,0,5,107,,
H. I-OXAPAMPA_per_2018-08,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,
H. I-OXAPAMPA_per_2018-09,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,
H. I-OXAPAMPA_per_2018-10,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,
H. I-OXAPAMPA_per_2018-11,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,
H. I-OXAPAMPA_per_2018-12,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,
H. I-PACASMAYO_per_2018-01,2372,,1928,67,1927,16,433,428,6,7,99,235,211,283,9,0,0,1,53,,7,44,2,0,48,48,1,,53,3,2,1,1,1,3,3,1147,6,81,254,806,306,789,247,1,96,96,1,1,11918,3954,14980,5701,339,110,402,142,24,83,14,377,244,0,0,3,,9,4,1,13,15,0,179,,11
H. I-PACASMAYO_per_2018-02,2194,,1184,94,1184,11,425,428,6,7,92,265,203,308,11,2,0,1,35,,2,32,1,0,68,68,1,,35,10,3,7,1,7,13,13,988,7,117,292,572,348,877,223,1,109,112,1,1,10550,3754,16735,8212,410,153,434,163,29,64,16,488,92,0,0,1,,8,4,7,7,8,0,224,,10
H. I-PACASMAYO_per_2018-03,2438,,1034,97,1034,11,487,487,6,7,83,269,177,341,11,1,0,2,43,,9,33,1,0,41,41,1,,43,6,3,3,1,3,6,6,958,4,86,217,651,287,763,157,1,96,96,1,1,11153,4113,17122,8246,355,155,388,176,14,159,13,399,158,0,0,0,,8,3,0,24,6,0,212,,9
H. I-PACASMAYO_per_2018-04,2399,,1078,107,1078,11,488,488,6,7,95,256,219,330,11,0,1,3,80,,10,63,6,1,63,63,1,,80,6,0,6,1,6,6,6,1008,6,101,239,662,312,825,180,1,104,104,1,1,11504,4440,17646,8241,386,160,437,197,34,67,17,409,297,199,0,2,,9,4,0,27,8,0,229,,12
H. I-PACASMAYO_per_2018-05,2297,,947,320,947,11,442,442,6,7,85,292,310,341,11,0,2,1,54,,6,43,5,0,74,74,1,,54,9,1,8,1,8,9,9,1392,6,82,469,835,325,855,127,1,100,100,1,1,12267,4328,16730,8727,384,152,433,185,27,125,17,431,299,285,0,0,,6,4,0,16,8,0,220,,10
H. I-PACASMAYO_per_2018-06,2240,,542,96,542,11,450,442,6,7,85,263,259,330,11,0,1,1,42,,11,26,5,0,34,34,1,,42,2,0,2,1,2,2,2,1053,6,37,422,588,321,892,146,1,99,99,1,1,11218,4162,14694,7265,386,125,413,143,27,47,5,371,281,260,0,3,,0,0,7,14,0,8,197,,10
H. I-PACASMAYO_per_2018-07,1913,,388,69,388,10,387,383,6,7,72,240,285,341,11,0,2,2,58,,10,44,2,2,128,128,1,,58,0,0,0,1,0,0,0,1098,4,62,431,601,289,750,128,1,95,95,1,1,11232,3836,16582,8382,373,127,411,157,21,87,15,351,316,260,208,3,,6,4,6,16,8,14,203,,10
H. I-PACASMAYO_per_2018-08,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0
