,CONSULTANTES ASEGURADOS,CONSULTANTES DEL SERVICIO,CONSULTANTES NUEVOS,CONSULTAS CAI,CONSULTORIO FUNCIONAL,CONSULTORIOS FISICOS,HORAS MEDICAS EFECTIVAS,HORAS MEDICAS PROGRAMADAS,MEDICOS,TOTAL CONSULTANTES,TOTAL CONSULTAS,CAMAS HOSPITALARIAS,DEFUNCIONES ANTES 48 HORAS,DEFUNCIONES DESPUES 48 HORAS,DIAS CAMA DISPONIBLES,EGRESOS,ESTANCIA,PACIENTES DIA,REINGRESOS,PACIENTE DIA UNIDAD CORONARIA,CIRUGIA MAYOR ALTA COMPLEJIDAD,CIRUGIA MAYOR BAJA COMPLEJIDAD,CIRUGIA MAYOR MEDIANA COMPLEJIDAD,CIRUGIA MENOR ALTO REQUERIMIENTO,CIRUGIA MENOR BAJO REQUERIMIENTO,HORAS PROGRAMADAS INTERVENCION QUIRURGIC,HORAS USO DE SALA,INTERVENCION QUIRURGICA PROGRAMADAS,INTERVENCIONES QUIRURGICAS SUSPENDIDAS,SALAS QUIRURGICAS FUNCIONALES,CESAREAS,NACIDOS VIVOS,NACIMIENTOS,PARTOS CON COMPLICACION,PARTOS SIN COMPLICACION,PACIENTE DIA - PARTOS COMPLICADOS,PACIENTE DIA - PARTOS SIN COMPLICACIËN,N░ SALAS DE PARTOS,ATENCIONES DE EMERGENCIA I,ATENCIONES DE EMERGENCIA II,ATENCIONES DE EMERGENCIA III,ATENCIONES DE EMERGENCIA IV,EGRESO PACIENTE <=24 HORAS,EGRESO PACIENTE > 24 HORAS,CONSULTANTES ODONTOLOGICOS,CONSULTORIOS FISICOS ODONTOLOGIA,CONSULTORIOS FUNCIONALES ODONTOLOGIA,HORAS ODONTOLOGICAS EFECTIVAS,HORAS ODONTOLOGICAS PROGRAMADAS,ODONTOLOGOS,SESIONES ODONTOLOGICAS,TRABAJOS ODONTOLOGICOS,ANALISIS LABORATORIO CE,EXAMENES DE LABORATORIO,EXAMENES RADIOLOGICOS,EXAMENES RADIOLOGICOS CE,PLACAS RADIOLOGICAS,PLACAS RADIOLOGICAS CE,RECETAS DESPACHADAS,RECETAS DESPACHADAS CE,MUESTRAS PROCESADAS X PAP CERVICO VAGINA,PRIMERA CONSULTA EXTERNA M. PREVENTIVA,CRED ADOLESCENTES,MAMOGRAFIAS PREVENTIVAS 50 A 74 (RESULTA,CRED NIÐOS,MENORES 1 AÐO TERCERA DOSIS PENTAVALENTE,ACTIVIDADES EDUCACION GRUPAL TS,ATENCIONES PSICOLOGICAS,CONTROL DE ENFERMERIA,CONTROL DE NUTRICION,CONTROL DE OBSTETRICIA,CONTROL DE TRABAJO SOCIAL,EDUCACION GRUPAL DE ENFERMERIA,EDUCACION GRUPAL DE NUTRICION,EDUCACION GRUPAL DE OBSTETRICIA,PSICOPROFILAXIS DE NUTRICION,PSICOPROFILAXIS DE OBSTETRICIA,PSICOPROFILAXIS ENFERMERIA,VISITAS DOMICILIARIAS,VISITAS DOMICILIARIAS DE NUTRICION,VISITAS DOMICILIARIAS DE OBSTETRICIA,VISITAS DOMICILIARIAS TS,PERSONAL DE ENFERMERIA,PERSONAL DE OBSTETRICIA,PSICOPROFILAXIS DE PSICOLOGIA,VISITAS DOMICILIARIAS DE PSICOLOGIA,PSICOPROFILAXIS TS
H.IV AUGUSTO HERNANDEZ MENDOZA _per_2016-11,2215,3623,759,0,29,22,2876,2916,97,2254,13094,106,6,8,3180,634,3391,3065,8,0,42,214,175,25,0,570,423,307,10,4,79,135,135,84,46,252,92,2,99,2591,312,8,245,165,107,2,3,232,236,3,665,1692,24151,42539,2301,941,55,0,67144,23642,0,0,0,0,336,0,0,0,270,361,0,1190,23,0,0,0,0,0,0,0,0,20,151,11,0,0,0
H.IV AUGUSTO HERNANDEZ MENDOZA _per_2016-12,1963,3411,661,0,27,22,2748,2800,95,2021,13223,106,4,17,3286,699,3201,3056,10,0,54,280,197,44,0,714,551,411,22,4,86,143,145,86,56,258,111,2,128,2492,416,8,265,178,80,2,3,224,228,3,663,1488,26454,48796,2485,1270,45,20,74034,25525,0,0,0,0,296,0,0,0,290,350,0,1220,24,0,0,0,0,0,0,0,0,28,151,11,0,0,0
H.IV AUGUSTO HERNANDEZ MENDOZA _per_2016-TOTAL,41895,61619,8073,0,28,22,33146,33709,100,42289,152683,106,70,185,39100,7849,40239,37504,131,0,508,3166,2115,317,0,7142,5698,4282,164,4,947,1869,1879,965,879,2849,1759,2,1350,30684,2788,414,2561,2294,1436,2,3,2496,2772,3,7409,21885,274423,499419,29847,14292,1831,253,871310,278054,0,0,0,0,3997,0,0,0,3524,3888,0,13488,269,0,0,0,0,0,0,0,0,226,1767,123,0,0,0
H.IV VICTOR LAZARTE ECHEGARAY _per_2016-01,9674,12147,240,0,48,31,3559,3640,130,9675,14450,234,7,29,7262,1332,6495,6195,12,0,132,356,371,27,3,986,888,468,21,5,167,288,291,167,117,668,234,1,219,3848,6533,655,735,310,337,3,2,241,248,4,627,1777,52549,90157,3608,1003,4233,1903,130663,28517,0,387,0,0,261,12,4,442,2738,801,0,1568,2,3,19,0,0,0,39,0,0,0,239,16,0,0,0
H.IV VICTOR LAZARTE ECHEGARAY _per_2016-02,6720,10112,571,0,48,31,3644,3783,135,6720,14606,228,3,34,6614,1293,5491,5709,19,0,161,316,388,27,4,936,845,485,23,5,140,271,273,140,129,487,253,1,161,3230,6426,500,574,331,212,3,3,313,328,5,831,2154,51359,90054,3606,1217,4581,1767,124423,25917,0,520,0,0,264,6,4,552,3112,748,73,1743,7,0,21,0,0,0,53,0,0,0,239,16,0,0,0
H.IV VICTOR LAZARTE ECHEGARAY _per_2016-03,5124,8473,825,0,49,31,3722,3911,141,5124,15298,228,5,30,7068,1297,6539,5991,17,0,171,311,390,30,4,1058,960,476,5,5,146,264,267,146,114,512,228,1,177,3155,6203,1426,757,346,123,3,3,250,268,5,648,1806,63076,104159,3466,1069,4147,1711,129515,28714,0,662,0,0,258,9,8,472,3102,615,137,1909,16,0,21,0,0,0,53,0,0,0,239,16,0,0,0
H.IV VICTOR LAZARTE ECHEGARAY _per_2016-04,3872,7196,863,0,47,31,4158,4335,151,3873,16590,228,2,31,6840,1295,6253,5999,11,0,157,347,394,25,3,1040,950,506,22,5,141,246,250,141,104,564,208,1,181,4403,5632,663,712,318,111,3,3,264,276,4,629,1707,55562,97807,3584,1216,4540,1753,129896,29405,0,651,0,0,262,8,8,516,2250,647,88,1820,21,0,27,0,0,0,70,0,0,0,239,16,0,0,0
H.IV VICTOR LAZARTE ECHEGARAY _per_2016-05,3150,6229,897,0,50,31,4247,4516,150,3150,16639,228,10,22,7068,1388,7209,6087,19,0,168,341,388,35,4,980,840,523,14,5,156,284,286,156,127,498,254,1,194,4117,5481,1297,696,338,142,3,3,308,328,5,810,2068,57993,101409,3522,1126,4618,1699,127637,31317,0,802,0,0,224,4,4,543,3411,654,0,1836,12,4,28,0,0,0,71,0,0,0,239,16,0,0,0
H.IV VICTOR LAZARTE ECHEGARAY _per_2016-06,2611,5314,865,0,47,31,3914,4172,147,2611,15815,228,4,22,6840,1271,6393,5696,18,0,164,328,332,28,6,988,803,503,23,5,150,248,255,150,99,518,198,1,208,3128,5674,529,640,317,160,3,3,348,352,5,898,2331,65996,104608,3361,1074,4276,1678,117508,26931,0,605,0,0,181,5,4,535,2828,626,19,2106,5,4,30,0,0,0,41,0,0,0,239,16,0,0,0
H.IV VICTOR LAZARTE ECHEGARAY _per_2016-07,1786,3959,598,0,44,30,3424,3516,133,1786,13928,228,5,28,7068,1223,6091,5767,20,0,163,308,324,35,1,920,830,497,29,5,137,257,259,137,117,495,234,1,216,2153,6395,841,699,297,94,3,3,231,252,5,616,1804,47798,80949,3371,1133,4017,1530,109831,25237,0,519,0,0,191,5,4,518,2905,566,0,1955,12,0,27,0,0,0,31,0,0,0,239,16,0,0,0
