,CONSULTANTES ASEGURADOS,CONSULTANTES DEL SERVICIO,CONSULTANTES NUEVOS,CONSULTAS CAI,CONSULTORIO FUNCIONAL,CONSULTORIOS FISICOS,HORAS MEDICAS EFECTIVAS,HORAS MEDICAS PROGRAMADAS,MEDICOS,TOTAL CONSULTANTES,TOTAL CONSULTAS,CAMAS HOSPITALARIAS,DEFUNCIONES ANTES 48 HORAS,DEFUNCIONES DESPUES 48 HORAS,DIAS CAMA DISPONIBLES,EGRESOS,ESTANCIA,PACIENTES DIA,REINGRESOS,PACIENTE DIA UNIDAD CORONARIA,CIRUGIA MAYOR ALTA COMPLEJIDAD,CIRUGIA MAYOR BAJA COMPLEJIDAD,CIRUGIA MAYOR MEDIANA COMPLEJIDAD,CIRUGIA MENOR ALTO REQUERIMIENTO,CIRUGIA MENOR BAJO REQUERIMIENTO,HORAS PROGRAMADAS INTERVENCION QUIRURGIC,HORAS USO DE SALA,INTERVENCION QUIRURGICA PROGRAMADAS,INTERVENCIONES QUIRURGICAS SUSPENDIDAS,SALAS QUIRURGICAS FUNCIONALES,CESAREAS,NACIDOS VIVOS,NACIMIENTOS,PARTOS CON COMPLICACION,PARTOS SIN COMPLICACION,PACIENTE DIA - PARTOS COMPLICADOS,PACIENTE DIA - PARTOS SIN COMPLICACIËN,N░ SALAS DE PARTOS,ATENCIONES DE EMERGENCIA I,ATENCIONES DE EMERGENCIA II,ATENCIONES DE EMERGENCIA III,ATENCIONES DE EMERGENCIA IV,EGRESO PACIENTE <=24 HORAS,EGRESO PACIENTE > 24 HORAS,CONSULTANTES ODONTOLOGICOS,CONSULTORIOS FISICOS ODONTOLOGIA,CONSULTORIOS FUNCIONALES ODONTOLOGIA,HORAS ODONTOLOGICAS EFECTIVAS,HORAS ODONTOLOGICAS PROGRAMADAS,ODONTOLOGOS,SESIONES ODONTOLOGICAS,TRABAJOS ODONTOLOGICOS,ANALISIS LABORATORIO CE,EXAMENES DE LABORATORIO,EXAMENES RADIOLOGICOS,EXAMENES RADIOLOGICOS CE,PLACAS RADIOLOGICAS,PLACAS RADIOLOGICAS CE,RECETAS DESPACHADAS,RECETAS DESPACHADAS CE,MUESTRAS PROCESADAS X PAP CERVICO VAGINA,PRIMERA CONSULTA EXTERNA M. PREVENTIVA,CRED ADOLESCENTES,MAMOGRAFIAS PREVENTIVAS 50 A 74 (RESULTA,CRED NIÐOS,MENORES 1 AÐO TERCERA DOSIS PENTAVALENTE,ACTIVIDADES EDUCACION GRUPAL TS,ATENCIONES PSICOLOGICAS,CONTROL DE ENFERMERIA,CONTROL DE NUTRICION,CONTROL DE OBSTETRICIA,CONTROL DE TRABAJO SOCIAL,EDUCACION GRUPAL DE ENFERMERIA,EDUCACION GRUPAL DE NUTRICION,EDUCACION GRUPAL DE OBSTETRICIA,PSICOPROFILAXIS DE NUTRICION,PSICOPROFILAXIS DE OBSTETRICIA,PSICOPROFILAXIS ENFERMERIA,VISITAS DOMICILIARIAS,VISITAS DOMICILIARIAS DE NUTRICION,VISITAS DOMICILIARIAS DE OBSTETRICIA,VISITAS DOMICILIARIAS TS,PERSONAL DE ENFERMERIA,PERSONAL DE OBSTETRICIA,PSICOPROFILAXIS DE PSICOLOGIA,VISITAS DOMICILIARIAS DE PSICOLOGIA,PSICOPROFILAXIS TS
C.M. MACHU PICCHU _per_2016-04,98,99,13,0,1,1,59,59,1,99,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,38,1,1,13,13,1,38,142,0,0,0,0,0,0,871,607,8,7,2,0,43,0,0,0,100,0,50,0,1,0,0,0,3,0,2,0,0,0,1,1,0,0,0
C.M. MACHU PICCHU _per_2016-05,57,57,12,0,1,1,47,47,1,57,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,593,447,17,12,2,1,32,5,0,0,30,0,68,0,1,0,1,0,3,0,1,0,4,0,1,1,0,0,0
C.M. MACHU PICCHU _per_2016-06,58,59,16,0,1,1,48,48,1,59,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,28,1,1,14,14,1,43,107,0,0,0,0,0,0,707,487,7,26,1,0,51,3,0,0,25,0,85,0,1,0,0,0,3,0,3,0,2,0,1,1,0,0,0
C.M. MACHU PICCHU _per_2016-07,50,51,11,0,1,1,52,52,1,51,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691,492,16,16,5,0,47,3,0,0,33,0,79,0,2,0,1,0,4,0,5,0,3,0,1,1,0,0,0
C.M. MACHU PICCHU _per_2016-08,57,58,24,0,1,1,59,59,1,58,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,30,1,1,13,13,1,40,104,0,0,0,0,0,0,830,526,11,14,4,0,57,2,0,0,23,0,69,0,3,0,5,0,2,0,4,0,1,0,1,1,0,0,0
C.M. MACHU PICCHU _per_2016-09,45,46,14,0,1,1,52,52,1,46,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,705,494,7,50,5,0,57,3,0,0,24,0,87,0,3,0,2,0,3,0,0,0,4,0,1,1,0,0,0
C.M. MACHU PICCHU _per_2016-10,29,30,7,0,1,1,51,51,1,30,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,621,451,10,3,0,2,0,0,0,0,1,0,73,0,0,0,1,0,3,0,0,0,5,0,1,1,0,0,0
C.M. MACHU PICCHU _per_2016-11,32,40,20,0,1,1,43,43,1,40,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691,396,10,3,5,2,57,3,0,0,46,0,73,0,1,0,1,0,3,0,3,0,3,0,1,1,0,0,0
C.M. MACHU PICCHU _per_2016-12,35,39,21,0,1,1,53,53,1,39,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,743,463,0,8,5,2,43,4,0,0,29,0,73,0,1,0,1,0,3,0,3,0,3,0,1,1,0,0,0
C.M. MACHU PICCHU _per_2016-TOTAL,1022,1050,185,0,1,1,641,641,1,1050,3228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1251,0,0,0,142,4,4,56,56,4,167,529,0,0,0,0,0,0,9137,6251,133,190,40,8,546,28,0,0,626,0,899,0,18,0,12,0,37,0,28,0,32,0,12,12,0,0,0
C.M. MALA _per_2016-01,1817,1817,82,0,3,2,384,424,6,1817,2046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,992,0,141,0,386,1,2,180,194,3,554,1438,969,994,273,238,423,400,8842,5002,143,203,10,19,340,20,0,0,619,309,665,0,17,6,0,0,0,0,31,0,0,0,8,1,0,0,0
C.M. MALA _per_2016-02,1236,1236,65,0,3,2,358,402,6,1236,1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1161,0,150,0,166,1,2,89,154,2,275,705,1275,1327,308,270,567,512,9023,4455,100,238,27,6,328,18,0,0,610,306,592,0,21,4,4,0,6,0,0,0,0,0,8,1,0,0,0
C.M. MALA _per_2016-03,986,986,83,0,3,2,360,388,6,986,1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1239,0,162,0,90,1,2,44,132,2,144,396,1405,1415,206,180,407,370,9008,4722,190,229,10,17,283,16,0,0,581,226,515,0,29,2,4,0,6,0,11,0,0,0,8,1,0,0,0
C.M. MALA _per_2016-04,814,814,89,0,3,2,368,368,6,814,1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,982,0,200,0,121,1,2,62,122,2,187,420,1587,1592,322,285,542,475,8593,4731,71,332,1,22,237,16,0,0,654,226,558,0,35,4,4,0,6,0,3,0,0,0,8,1,0,0,0
C.M. MALA _per_2016-05,635,635,81,0,3,2,336,356,5,635,1868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1081,0,250,0,155,1,1,92,102,1,286,629,786,790,268,240,442,392,8688,4504,163,217,3,4,315,14,0,0,669,165,494,0,17,4,4,0,6,0,17,0,0,0,8,1,0,0,0
C.M. MALA _per_2016-06,547,547,95,0,3,2,308,308,5,547,1734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,867,0,198,0,138,1,1,84,98,1,264,592,1791,1796,159,119,302,232,7437,4165,140,134,3,11,285,22,0,0,609,282,484,0,11,4,4,0,6,0,16,0,0,0,7,1,0,0,0
C.M. MALA _per_2016-07,542,542,84,0,3,2,360,372,5,542,1902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1059,0,249,0,100,1,1,83,98,1,256,564,1075,1083,163,142,298,255,8193,4589,67,134,10,45,308,11,0,0,571,254,497,0,10,15,3,0,6,0,3,0,0,0,7,1,0,0,0
C.M. MALA _per_2016-08,495,495,99,0,3,2,320,328,5,495,1849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1165,0,330,0,124,1,1,76,92,1,239,554,1273,1301,164,141,275,242,8741,4146,101,211,20,29,351,17,0,0,535,330,561,0,9,4,3,0,6,0,3,0,0,0,7,1,0,0,0
C.M. MALA _per_2016-09,442,442,86,0,3,2,306,314,5,442,1853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1194,0,250,0,105,1,1,79,99,1,242,552,1218,1295,141,136,308,300,8603,4384,304,188,9,175,339,23,0,0,582,327,610,0,12,4,0,0,6,0,11,0,0,0,7,1,0,0,0
C.M. MALA _per_2016-10,433,433,94,0,3,2,320,320,5,433,1850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1226,0,141,0,94,1,1,77,105,1,237,512,1112,1168,7,5,11,8,8833,4436,191,171,2,2,293,13,0,0,503,325,497,0,0,2,6,0,6,0,3,0,0,0,7,1,0,0,0
C.M. MALA _per_2016-11,462,462,112,0,3,2,384,412,6,462,2128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1165,0,220,0,80,1,2,72,84,2,242,503,1090,1151,68,59,117,108,9326,5150,79,193,2,2,311,21,0,0,530,329,584,0,7,2,4,0,6,0,8,0,0,0,7,1,0,0,0
C.M. MALA _per_2016-12,341,341,96,0,3,2,356,356,6,341,1895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1041,0,229,0,87,1,2,54,58,2,155,345,810,870,164,141,277,235,8652,4902,97,171,19,20,352,28,0,0,431,312,479,0,6,4,5,0,6,0,2,0,0,0,7,1,0,0,0
C.M. MALA _per_2016-TOTAL,8750,8750,1066,0,3,2,4160,4348,6,8750,22977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,13172,0,2520,0,1646,1,2,992,1338,2,3081,7210,14391,14782,2243,1956,3969,3529,103939,55186,1646,2421,116,352,3742,219,0,0,6894,3391,6536,0,174,55,41,0,66,0,108,0,0,0,89,12,0,0,0
C.M. METROPOLITANO _per_2016-01,7130,7306,251,1951,15,10,1636,1705,21,7130,7967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1286,3,6,478,494,5,1508,4624,0,0,0,0,0,0,23570,14761,831,401,4,252,774,121,4,378,1491,478,948,400,0,1,1,0,12,0,12,0,0,4,11,4,0,3,0
C.M. METROPOLITANO _per_2016-02,5462,5984,366,1698,15,10,1730,1778,24,5462,8463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1125,3,6,542,550,6,1689,4794,0,0,0,0,0,0,24465,15696,602,1116,5,215,743,97,2,340,1419,273,700,393,0,1,4,0,27,0,14,0,0,2,11,3,0,0,0
C.M. METROPOLITANO _per_2016-03,4407,5028,342,1915,19,10,1782,1922,25,4407,8723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,824,3,6,462,498,6,1416,3952,0,0,0,0,0,0,25101,16383,554,853,3,188,988,111,3,344,1241,443,760,408,0,1,0,0,24,0,5,0,2,2,11,3,0,0,0
C.M. METROPOLITANO _per_2016-04,3641,4365,374,1969,19,10,1896,1920,22,3641,9228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,885,3,6,571,627,6,1692,4707,0,0,0,0,0,0,27154,17803,584,1025,2,240,919,99,4,388,1378,465,850,408,0,1,1,0,24,0,0,0,2,4,11,3,0,0,0
C.M. METROPOLITANO _per_2016-05,2788,3484,341,2197,19,10,1770,1911,22,2788,8530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,843,3,6,602,622,6,1788,4758,0,0,0,0,0,0,26237,16377,335,1242,4,129,879,85,4,378,1305,422,453,472,0,3,1,0,24,0,14,0,2,2,8,3,0,0,0
C.M. METROPOLITANO _per_2016-06,2374,3021,350,2109,19,10,1600,1762,21,2374,7756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,808,3,6,588,632,6,1750,4509,0,0,0,0,0,0,25590,16007,326,1160,4,171,805,84,3,146,1264,438,683,356,0,2,1,0,16,0,0,0,4,3,10,3,0,0,0
C.M. METROPOLITANO _per_2016-07,2155,2871,407,2209,19,10,1564,1713,20,2155,7629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464,3,6,384,448,6,1139,2972,0,0,0,0,0,0,25113,15291,424,1422,0,174,825,91,1,297,1289,375,510,408,0,2,2,0,16,0,15,0,4,3,10,3,0,0,0
C.M. METROPOLITANO _per_2016-08,1835,2496,370,2268,19,10,1469,1635,23,1835,7292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569,3,6,444,472,6,1385,3704,0,0,0,0,0,0,25534,15345,432,1612,3,196,1018,91,1,325,1518,197,553,512,0,1,2,0,24,0,0,0,4,2,10,3,0,8,0
C.M. METROPOLITANO _per_2016-09,1898,2628,433,2257,19,10,1690,1698,22,1898,8280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,635,3,6,548,552,6,1671,4262,0,0,0,0,0,0,26281,16430,414,1579,2,221,983,110,0,382,1462,399,560,0,0,2,3,0,15,0,20,0,2,0,10,2,0,0,0
C.M. METROPOLITANO _per_2016-10,1767,2467,381,2115,19,10,1630,1724,18,1767,7997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540,3,6,508,544,6,1552,3870,0,0,0,0,0,0,25112,15580,411,1472,3,218,935,115,3,260,1383,465,689,500,0,4,0,0,18,0,16,0,2,0,10,2,0,5,0
C.M. METROPOLITANO _per_2016-11,1637,2410,399,2060,19,10,1682,1788,26,1637,8194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523,3,6,512,556,6,1563,3940,0,0,0,0,0,0,25796,16505,477,1323,3,187,908,101,1,264,1354,467,662,456,0,3,2,0,18,0,3,0,2,2,10,2,0,4,0
C.M. METROPOLITANO _per_2016-12,1336,2080,347,2099,19,10,1503,1595,26,1336,7261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,528,3,6,508,560,6,1538,3940,0,0,0,0,0,0,25103,15673,288,1195,3,131,857,104,8,342,1393,499,800,432,0,3,5,0,21,0,3,0,2,3,10,2,0,0,0
C.M. METROPOLITANO _per_2016-TOTAL,36430,44140,4361,24847,19,10,19952,21151,23,36430,97320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9030,3,6,6147,6555,6,18691,50032,0,0,0,0,0,0,305056,191851,5678,14400,36,2322,10634,1209,34,3844,16497,4921,8168,4745,0,24,22,0,239,0,102,0,26,27,122,33,0,20,0
C.M. PAMPAS _per_2016-01,739,739,135,0,4,2,170,170,2,739,1190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,19,0,0,0,629,1,2,150,150,1,704,1760,1775,1914,0,0,0,0,2059,1648,40,0,7,11,102,6,0,253,778,0,170,0,0,0,0,0,12,0,3,0,10,0,1,1,1,6,0
C.M. PAMPAS _per_2016-02,487,487,141,0,4,2,170,170,2,487,1191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,15,0,0,0,252,1,2,150,150,1,484,1210,2111,2412,84,84,84,84,1875,1524,90,80,5,17,92,8,0,253,600,0,130,0,10,0,0,0,6,0,12,0,10,0,1,1,1,6,0
C.M. PAMPAS _per_2016-03,593,593,146,0,4,2,180,180,2,593,1278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,22,0,0,0,468,1,2,145,145,1,717,1796,1166,1525,80,80,80,80,2472,1978,50,104,35,13,125,6,0,253,981,0,190,0,21,0,10,0,5,0,15,0,11,0,3,1,0,4,0
C.M. PAMPAS _per_2016-04,324,324,62,0,4,2,180,180,2,324,1172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,30,0,0,0,287,1,2,140,140,1,641,1603,1270,1794,82,82,82,82,2468,1950,45,164,15,10,98,4,0,253,981,0,190,0,21,0,10,0,5,0,15,0,11,0,3,1,0,4,0
C.M. PAMPAS _per_2016-05,257,257,72,0,4,2,180,180,2,257,1187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,28,0,0,0,96,1,2,126,126,1,330,825,494,719,82,82,82,82,2442,1992,49,131,25,11,118,3,0,114,918,20,205,0,20,0,0,0,10,0,28,0,10,0,3,1,0,2,0
C.M. PAMPAS _per_2016-06,243,243,69,0,4,2,180,180,2,243,1121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,32,0,0,0,320,1,2,150,150,1,716,1790,922,1516,82,82,82,82,2707,2195,53,162,12,13,97,1,0,203,894,0,177,0,15,0,1,0,10,0,15,0,10,0,3,1,0,1,0
C.M. PAMPAS _per_2016-07,212,212,63,0,4,2,181,181,2,212,1140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,461,1,2,150,150,1,745,1863,459,868,80,80,80,80,2775,2330,53,121,17,0,101,6,0,225,827,0,225,0,18,0,2,0,8,0,20,0,7,0,3,1,0,2,0
C.M. PAMPAS _per_2016-08,307,307,207,0,4,2,182,182,2,307,1146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,28,0,0,0,527,1,2,135,135,1,610,1525,1688,1688,80,80,80,80,2437,1921,54,100,24,11,128,12,0,277,940,0,201,0,20,0,2,0,8,0,25,0,10,0,3,1,0,2,0
C.M. PAMPAS _per_2016-09,149,149,58,0,4,2,180,180,2,149,1144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,31,0,0,0,116,1,2,150,150,1,676,1690,1688,1688,80,80,80,80,2437,1921,51,137,28,7,116,6,0,223,897,0,199,0,23,0,2,0,10,0,15,0,10,0,3,1,0,2,0
C.M. PAMPAS _per_2016-10,182,182,99,0,4,2,180,180,2,182,1118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,32,0,0,0,70,1,2,145,145,1,562,1405,824,824,82,82,82,82,2471,1901,51,158,10,21,130,8,0,167,931,30,156,0,30,0,0,0,8,0,60,0,10,0,3,1,0,3,0
C.M. PAMPAS _per_2016-11,165,165,108,0,4,2,176,180,2,165,1121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,42,0,0,0,54,1,2,145,145,1,613,1533,639,1255,80,80,80,80,2397,1822,47,138,15,13,119,9,0,167,923,30,199,0,10,0,28,0,0,0,20,0,2,0,3,1,0,2,0
C.M. PAMPAS _per_2016-12,62,133,62,0,4,2,175,175,2,62,1011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,1,2,145,145,1,610,1525,482,670,78,78,78,78,2271,1822,65,91,10,2,111,9,0,156,870,43,196,0,10,0,0,0,8,0,10,0,10,0,3,1,0,3,0
C.M. PAMPAS _per_2016-TOTAL,3720,3791,1222,0,4,2,2134,2138,2,3720,13819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,279,10,0,0,3378,1,2,1731,1731,1,7408,18525,13518,16873,890,890,890,890,28811,23004,648,1386,203,129,1337,78,0,2544,10540,123,2238,0,198,0,55,0,90,0,238,0,111,0,32,12,2,37,0
C.M. PAUCARTAMBO _per_2016-01,223,226,23,0,2,1,49,49,1,226,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,1,2,51,51,1,152,361,0,0,22,22,33,33,503,431,5,37,6,0,27,2,0,0,20,0,74,0,4,0,0,0,3,0,0,0,0,0,1,1,0,0,0
C.M. PAUCARTAMBO _per_2016-02,164,170,28,0,2,1,52,52,1,170,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,1,2,44,44,1,132,138,0,0,16,16,24,24,542,507,18,36,10,0,18,0,0,0,24,0,47,0,4,0,0,0,2,0,0,0,0,0,1,1,0,0,0
C.M. PAUCARTAMBO _per_2016-03,125,127,22,0,2,1,46,46,1,127,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1,2,35,35,1,104,263,0,0,17,17,18,18,496,458,8,25,6,1,22,0,0,0,11,0,45,0,5,0,2,0,3,0,0,0,1,0,1,1,0,0,0
C.M. PAUCARTAMBO _per_2016-04,110,111,34,0,2,1,49,49,1,111,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,1,2,32,32,1,95,251,0,0,14,14,21,21,518,457,10,27,5,2,21,0,0,0,13,0,58,0,4,0,1,0,1,0,0,0,1,0,1,1,0,0,0
C.M. PAUCARTAMBO _per_2016-05,103,105,35,0,2,1,66,66,1,105,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1,2,31,31,1,93,206,0,0,23,23,36,36,910,826,0,14,2,0,14,0,0,0,24,0,48,0,5,0,0,0,1,0,0,0,1,0,1,1,0,0,0
C.M. PAUCARTAMBO _per_2016-06,77,81,18,0,2,1,56,56,1,81,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,2,27,27,1,82,208,0,0,32,32,50,50,702,657,11,18,0,0,31,0,0,0,15,0,53,0,5,0,3,0,1,0,0,0,1,0,1,1,0,0,0
C.M. PAUCARTAMBO _per_2016-07,128,130,64,0,2,1,74,74,1,130,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,1,2,29,29,1,86,230,0,0,24,24,32,32,967,931,5,10,10,1,11,0,0,0,18,0,71,0,3,0,2,0,1,0,0,0,1,0,1,1,0,0,0
C.M. PAUCARTAMBO _per_2016-08,125,132,85,0,2,1,74,74,1,132,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,1,2,33,33,1,98,263,0,0,35,35,63,63,962,892,10,5,6,4,17,0,0,0,14,0,86,0,5,0,1,0,1,0,0,0,1,0,1,1,0,0,0
C.M. PAUCARTAMBO _per_2016-09,70,73,38,0,2,1,69,69,1,73,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,1,2,42,42,1,126,290,0,0,25,25,47,47,875,821,12,13,4,0,28,0,0,0,58,0,78,0,0,0,2,0,1,0,0,0,3,0,1,1,0,0,0
C.M. PAUCARTAMBO _per_2016-10,50,56,31,0,2,1,63,63,1,56,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,2,39,39,1,117,259,0,0,31,31,67,67,719,635,10,4,1,1,14,0,0,0,26,0,64,0,2,0,6,0,1,0,0,0,1,0,1,1,0,0,0
C.M. PAUCARTAMBO _per_2016-11,56,59,34,0,2,1,72,72,1,59,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1,2,43,43,1,129,321,0,0,26,26,57,57,968,881,12,10,1,0,18,0,0,0,12,0,78,0,2,0,1,0,1,0,0,0,3,0,1,1,0,0,0
C.M. PAUCARTAMBO _per_2016-12,35,35,24,0,2,1,64,64,1,35,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,44,1,2,38,38,1,115,173,0,0,26,26,43,43,473,417,8,1,2,5,7,0,0,0,1,0,65,0,0,0,1,0,1,0,0,0,4,0,1,1,0,0,0
