,Consultas,Consultas de Atención Inmediata,Consultantes al Establecimiento,Consultantes Nuevos,Consultantes Asegurados,Médicos,Horas Médicas Programadas,Horas Médicas Efectivas,Consultorios Fisicos,Consultorios Funcionales,Egresos,Estancias,Pacientes dias,Dias cama disponible,Camas hospitalarias,Def. antes 48 hrs,Def. despues 48 hrs,Reingresos,Total I.Q.,Cirugia Mayor de AC,Cirugia Menor de MC,Cirugia Mayor de BC,Cirugia Menor de AR,Cirugia Menor de BR,Horas Uso Sala,Horas Programadas,Salas Quirúrgicas,Operaciones Suspendidas,Intervenciones Q Programadas,Total partos,Partos sin complicación,Partos con complicación,Sala de partos,Cesareas,Nacimientos,Nacidos vivos,Total de atenciones,Prioridad I,Prioridad II,Prioridad III,Prioridad IV,Sesiones Odontológicas,Trabajos Odontológicos,Consultantes de odontología,Odontólogos,Horas odontológicas efecivas,Horas odontológicas programadas,Consultorios fisicos Odontólogi,Consultorios funcional Odontó ,Recetas despachadas,Recetas despachadas C E,Análisis de laboratorio,Análisis de laboratorio C E,Exámenes radiológicos,Exámenes radiológicos C E,Placas radiológicas,Placas radiológicas C E,Mamografias Preventivas,Muestras Porcesas x PAP,3era. Dosis Pentavalente,Primera Consulta Médico Prev,Control de Enfermería,Control de nutrición,Control de Trabajo Social,Educación Grupal de enfermería,Educación Grupal de Nutrución,Educación Grupal Trabajo Social,Educación Grupal de Obstetricia,Psicoprofilaxis de Nutrición,Psicoprofilaxis de Obstetricia,Visitas Domiciliarias de Enferm,Visitas Domiciliarias de Nutric,Visitas Domiciliarias de Obstet,Visitas Domiciliarias de T S,Psicoprofilaxis de Enfermería,Atenciones Psicología,Psicoprofilaxis de Psicología,Visitas Domiciliarias de Psicol
C.M.-ANCIJE_per_2017-05,4781,,549,26,549,17,1105,1037,12,22,,,,,,,,,,,,,,,,,,,,,,,,,,,175,,,175,,987,1974,224,3,322,328,2,3,16603,11364,6871,6031,180,177,75,72,21,18,,15,1963,527,224,7,,14,,,,17,0,,15,,142,4,
C.M.-ANCIJE_per_2017-06,5014,,523,17,523,18,1190,1083,12,22,,,,,,,,,,,,,,,,,,,,,,,,,,,175,,,175,,962,1924,247,3,315,326,2,3,17204,12194,7818,6774,396,393,231,228,17,11,,7,1714,583,216,7,,6,,,,8,0,,16,,154,9,
C.M.-ANCIJE_per_2017-07,4612,,441,116,441,17,1064,988,12,21,,,,,,,,,,,,,,,,,,,,,,,,,,,219,,,219,,597,1194,146,3,194,200,2,3,16582,11136,6758,5364,224,222,116,114,8,5,,73,2229,576,168,7,,3,,,,12,8,,12,,182,6,
C.M.-ANCIJE_per_2017-08,4201,,323,100,323,17,932,904,12,22,,,,,,,,,,,,,,,,,,,,,,,,,,,339,,,339,,898,1796,329,3,295,303,2,3,15459,10441,6590,5821,584,578,407,401,14,6,,10,1791,589,300,7,,0,,,,7,4,,11,,145,6,
C.M.-ANCIJE_per_2017-09,5124,,420,91,419,16,1133,1094,12,21,,,,,,,,,,,,,,,,,,,,,,,,,,,276,,,276,,971,1942,265,3,321,329,2,3,17100,12260,7470,6528,423,416,309,302,25,3,,16,2050,437,268,6,,8,,,,12,2,,12,,297,9,
C.M.-ANCIJE_per_2017-10,4648,,210,28,210,16,1032,979,12,20,,,,,,,,,,,,,,,,,,,,,,,,,,,280,,,280,,653,1306,112,3,211,222,2,3,16874,11346,6917,5634,482,471,354,343,23,7,,7,2003,437,217,10,,8,,,,14,8,,14,,293,8,
C.M.-ANCIJE_per_2017-11,4841,,196,40,196,16,1065,1014,12,22,,,,,,,,,,,,,,,,,,,,,,,,,,,254,,,254,,927,1854,161,3,306,312,2,3,17487,12102,6354,5449,465,458,314,307,0,10,,23,1588,400,273,5,,9,,,,0,0,,0,,336,6,
C.M.-ANCIJE_per_2017-12,4075,,199,50,199,16,915,861,12,20,,,,,,,,,,,,,,,,,,,,,,,,,,,243,,,243,,889,1778,177,3,293,306,2,3,15316,10204,6041,5444,177,177,128,128,30,9,,9,1797,323,243,6,,8,,,,10,2,,14,,162,0,
C.M.-APLAO_per_2017-01,537,,349,95,349,1,100,100,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,16,14,0,252,634,158,1,84,92,1,1,2562,658,710,525,81,46,128,70,9,26,2,28,122,,,8,,,3,,5,4,,27,,,114,0,6
C.M.-APLAO_per_2017-02,522,,252,103,252,1,100,100,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,9,14,0,285,725,126,1,95,95,1,1,2103,678,1083,802,134,107,197,160,0,21,1,49,154,,,8,,,0,,0,4,,0,,,137,0,0
C.M.-APLAO_per_2017-03,579,,194,85,194,1,116,116,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,8,25,0,277,695,89,1,92,92,1,1,1589,688,1483,1098,143,92,224,147,11,20,0,41,4,,,1,,,4,,3,0,,17,,,95,0,0
C.M.-APLAO_per_2017-04,462,,148,76,148,1,93,93,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,0,6,0,285,720,68,1,95,95,1,1,2129,692,1008,746,152,85,227,133,0,1,0,24,131,,,0,,,7,,6,4,,17,,,130,4,0
C.M.-APLAO_per_2017-05,515,,141,76,141,1,103,103,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,6,30,0,284,718,78,1,95,95,1,1,1876,1525,1099,812,112,58,143,71,0,13,1,29,181,,,9,,,6,,6,0,,13,,,108,0,0
C.M.-APLAO_per_2017-06,582,,114,57,114,1,117,117,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,2,49,1,265,664,67,1,88,90,1,1,1551,1338,2471,1828,125,95,182,146,8,33,2,70,176,,,9,,,5,,6,0,,34,,,152,4,0
C.M.-APLAO_per_2017-07,696,,135,44,135,1,139,139,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,4,64,0,254,510,44,1,85,90,1,1,1728,696,2567,1899,130,103,207,169,24,32,3,71,175,,,7,,,4,,7,5,,15,,,132,2,0
C.M.-APLAO_per_2017-08,621,,92,56,92,1,124,124,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,1,97,0,264,532,42,1,88,90,1,1,2156,698,1622,1136,126,97,200,151,14,18,1,45,184,,,9,,,5,,4,1,,17,,,123,0,0
C.M.-APLAO_per_2017-09,632,,103,50,103,2,126,126,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,1,49,0,255,515,58,1,85,90,1,1,2153,698,1899,1339,115,91,182,144,18,34,0,19,176,,,0,,,6,,2,2,,10,,,111,2,0
C.M.-APLAO_per_2017-10,717,,94,78,94,2,150,143,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,1,51,0,205,508,45,1,68,68,1,1,2134,1256,1530,1085,144,127,230,210,10,32,3,48,162,,,6,,,6,,4,0,,10,,,128,2,0
C.M.-APLAO_per_2017-11,662,,102,80,102,2,140,133,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,0,63,0,263,525,56,1,88,92,1,1,3289,690,1203,869,0,0,0,0,8,35,1,49,176,,,0,,,4,,4,0,,11,,,72,1,0
C.M.-APLAO_per_2017-12,755,,256,238,256,1,126,126,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,0,47,0,28,56,5,1,10,30,1,1,2192,685,1330,939,162,116,240,187,0,36,1,35,157,,,4,,,4,,4,0,,10,,,54,0,2
C.M.-ASCOPE_per_2017-01,977,,791,21,787,7,214,202,2,3,24,592,507,620,20,,,,,,,,,,,,,,,,,,,,,,248,,56,160,32,222,451,130,1,71,72,1,1,4272,2407,2294,1115,40,40,,,0,0,1,37,179,142,0,3,6,0,,,,0,12,,0,,30,0,
C.M.-ASCOPE_per_2017-02,886,,475,16,475,7,188,180,2,3,16,328,372,560,20,,,,,,,,,,,,,,,,,,,,,,262,,76,146,40,291,585,131,1,94,96,1,1,3886,2235,2441,1224,60,60,,,0,0,1,7,201,120,0,6,4,0,,,,0,24,,0,,20,0,
C.M.-ASCOPE_per_2017-03,843,,251,12,251,7,202,185,2,3,26,337,362,620,20,,,,,,,,,,,,,,,,,,,,,,307,,92,177,38,202,406,73,1,63,72,1,1,4225,2372,1618,865,60,60,,,7,1,0,25,180,111,0,4,5,0,,,,0,12,,0,,19,0,
C.M.-ASCOPE_per_2017-04,842,,179,21,179,7,179,178,2,3,16,215,348,600,20,,,,,,,,,,,,,,,,,,,,,,279,,77,142,60,191,396,71,1,64,64,1,1,3812,2312,1685,928,60,60,,,1,11,0,14,225,99,0,8,4,0,,,,21,5,,0,,7,0,
C.M.-ASCOPE_per_2017-05,919,,192,18,191,7,202,195,2,3,14,420,343,620,20,,,,,,,,,,,,,,,,,,,,,,247,,66,139,42,249,511,94,1,86,100,1,1,4018,2379,1906,1157,60,60,,,0,17,2,7,281,86,0,7,4,0,,,,8,0,,0,,27,0,
C.M.-ASCOPE_per_2017-06,914,,132,22,131,7,205,195,2,3,16,267,283,600,20,,,,,,,,,,,,,,,,,,,,,,244,,48,150,46,263,532,163,1,83,88,1,1,3805,2354,1549,659,60,60,,,2,8,0,39,276,207,0,9,4,0,,,,5,16,,0,,19,0,
C.M.-ASCOPE_per_2017-07,944,,113,23,109,7,192,190,2,3,13,188,383,620,20,,,,,,,,,,,,,,,,,,,,,,224,,69,125,30,231,469,99,1,81,88,1,1,4027,2469,1781,847,60,60,,,3,1,1,24,357,143,27,11,4,1,,,,44,0,,24,,64,0,
C.M.-ASCOPE_per_2017-08,984,,122,29,120,7,202,202,2,3,15,288,455,620,20,,,,,,,,,,,,,,,,,,,,,,238,,67,137,34,181,362,66,1,57,64,1,1,4007,2433,2052,1040,60,60,,,7,14,1,43,227,236,99,10,4,3,,,,40,0,,105,,167,0,
C.M.-ASCOPE_per_2017-09,935,,100,40,98,7,186,186,2,3,15,430,495,600,20,,,,,,,,,,,,,,,,,,,,,,196,,79,89,28,297,598,88,1,95,100,1,1,4216,2350,2167,1177,60,60,,,0,34,0,23,280,240,110,5,5,0,,,,53,10,,60,,117,0,
C.M.-ASCOPE_per_2017-10,996,,98,22,97,7,190,190,2,3,13,477,355,620,20,,,,,,,,,,,,,,,,,,,,,,278,,42,215,21,230,463,104,1,63,68,1,1,4208,2583,1551,886,80,80,,,11,19,2,19,300,220,90,6,5,3,,,,42,0,,60,,164,0,
C.M.-ASCOPE_per_2017-11,965,,60,18,60,7,184,184,2,3,10,404,370,600,20,,,,,,,,,,,,,,,,,,,,,,254,,61,179,14,165,582,89,1,94,100,1,1,4195,2661,1721,810,84,84,,,4,23,2,22,272,182,39,7,5,0,,,,40,0,,48,,165,0,
C.M.-ASCOPE_per_2017-12,824,,71,19,71,8,187,167,2,3,14,327,388,620,20,,,,,,,,,,,,,,,,,,,,,,268,,66,189,13,198,399,60,1,60,60,1,1,3535,1928,1442,570,219,188,,,5,11,2,66,264,185,11,7,2,2,,,,17,0,,24,,156,1,
C.M.-AYAVIRI_per_2017-01,1490,,1294,37,1294,3,284,284,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,1,22,10,379,974,287,1,125,125,1,1,2725,2252,2773,2773,,,,,13,124,10,277,1102,204,,6,6,,10,,16,5,1,12,,4,397,3,1
C.M.-AYAVIRI_per_2017-02,1628,,844,42,844,3,327,315,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,4,26,6,558,1401,356,2,186,200,1,2,2736,2221,2346,2346,,,,,19,141,3,291,1476,323,,4,8,,11,,13,11,0,10,,4,379,3,3
C.M.-AYAVIRI_per_2017-03,1773,,613,36,613,3,364,354,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,0,31,10,571,1441,334,2,190,200,1,2,2982,2453,2694,2694,,,,,24,98,3,296,1491,330,,8,8,,15,,12,4,2,15,,4,374,2,2
C.M.-AYAVIRI_per_2017-04,1786,,480,41,480,3,332,324,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,0,25,6,546,1401,291,2,182,200,1,2,3020,2578,2066,2066,,,,,18,131,6,197,1128,60,,8,7,,13,,15,4,0,12,,4,355,3,2
C.M.-AYAVIRI_per_2017-05,1600,,352,40,352,3,336,324,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,0,35,4,602,1540,292,2,200,200,1,2,3246,2761,1419,1419,,,,,12,92,5,294,1364,360,,6,10,,15,,16,10,2,12,,4,337,4,2
C.M.-AYAVIRI_per_2017-06,1496,,284,45,284,3,276,268,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,0,27,16,561,1455,258,2,187,192,1,2,3238,2687,1243,1243,,,,,18,99,7,270,1244,364,,4,11,,13,,15,4,2,11,,4,191,2,2
C.M.-AYAVIRI_per_2017-07,1705,,271,43,271,3,312,312,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,0,26,12,576,1515,220,2,192,200,1,2,3306,2709,1792,1792,,,,,14,92,6,409,1575,401,,4,12,,14,,12,6,2,15,,4,468,5,2
C.M.-AYAVIRI_per_2017-08,1359,,241,46,241,2,244,240,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,0,25,6,596,1535,166,2,199,200,1,2,2909,2311,1864,1864,,,,,20,101,3,211,1216,184,,4,6,,14,,15,6,0,11,,0,437,7,4
C.M.-AYAVIRI_per_2017-09,1662,,199,41,199,3,292,292,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,0,48,9,583,1461,161,2,194,194,1,2,3650,3066,2163,2163,,,,,9,66,5,297,1327,441,,4,12,,15,,15,8,2,15,,0,439,9,4
C.M.-AYAVIRI_per_2017-10,1330,,150,40,150,2,253,253,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,0,34,7,567,1465,173,2,189,192,1,2,2814,2351,2149,2149,,,,,9,79,1,195,1236,346,,6,9,,12,,14,6,0,20,,0,358,5,3
C.M.-AYAVIRI_per_2017-11,1411,,155,44,155,3,233,233,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,1,25,12,624,1639,157,2,200,200,1,2,3092,2630,2065,2065,,,,,3,66,11,175,1166,510,,7,12,,15,,16,15,0,11,,0,456,7,4
C.M.-AYAVIRI_per_2017-12,1099,,95,21,95,2,208,208,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,7,9,3,366,945,89,2,122,122,1,2,2545,2200,1675,1675,,,,,0,52,2,208,895,409,,3,12,,19,,16,13,0,9,,0,189,4,2
C.M.-C.A.I. DE DIABETES E HIPERTENSION_per_2017-01,1982,,761,573,761,8,689,424,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407,407,,,,,,,1135,0,,,,,,,,,,,,,,,
C.M.-C.A.I. DE DIABETES E HIPERTENSION_per_2017-02,1842,,545,238,545,8,681,394,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282,282,,,,,,,1408,120,,,,,,,,,,,,,,,
C.M.-C.A.I. DE DIABETES E HIPERTENSION_per_2017-03,2125,,605,303,605,8,728,454,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,676,676,,,,,,,1572,150,,,,,,,,,,,,,,,
C.M.-C.A.I. DE DIABETES E HIPERTENSION_per_2017-04,2000,,591,326,591,8,649,428,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590,590,,,,,,,1106,139,,,,,,,,,,,,,,,
C.M.-C.A.I. DE DIABETES E HIPERTENSION_per_2017-05,2521,,710,370,710,9,722,539,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,756,756,,,,,,,1082,138,,,,,,,,,,,,,,,
C.M.-C.A.I. DE DIABETES E HIPERTENSION_per_2017-06,2404,,734,407,734,9,720,516,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,591,591,,,,,,,1213,89,,,,,,,,,,,,,,,
C.M.-C.A.I. DE DIABETES E HIPERTENSION_per_2017-07,2154,,510,272,510,8,581,455,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,644,644,,,,,,,860,58,,,,,,,,,,,,,,,
C.M.-C.A.I. DE DIABETES E HIPERTENSION_per_2017-08,2124,,528,275,528,8,607,550,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431,431,,,,,,,991,71,,,,,,,,,,,,,,,
C.M.-C.A.I. DE DIABETES E HIPERTENSION_per_2017-09,2214,,765,405,765,7,638,613,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,684,684,,,,,,,1387,97,,,,,,,,,,,,,,,
C.M.-C.A.I. DE DIABETES E HIPERTENSION_per_2017-10,2279,,713,409,713,7,676,652,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,642,642,,,,,,,1275,0,,,,,,,,,,,,,,,
C.M.-C.A.I. DE DIABETES E HIPERTENSION_per_2017-11,2159,,601,327,601,8,607,560,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,438,438,,,,,,,1200,0,,,,,,,,,,,,,,,
C.M.-C.A.I. DE DIABETES E HIPERTENSION_per_2017-12,2214,,427,243,427,6,555,531,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372,372,,,,,,,902,0,,,,,,,,,,,,,,,
C.M.-CAJABAMBA_per_2017-01,819,,605,44,605,1,150,150,1,1,,,,,,,,,,,,,,,,,,,,0,0,,1,,0,0,11,,4,7,0,373,958,266,1,120,125,1,1,1546,0,3033,2529,24,24,48,48,7,50,8,423,596,351,,0,0,,11,,8,38,20,24,,,328,0,0
C.M.-CAJABAMBA_per_2017-02,987,,523,70,523,2,142,142,1,1,,,,,,,,,,,,,,,,,,,,0,0,,1,,0,0,14,,9,5,0,401,1027,187,1,125,125,1,1,1738,1377,3483,3010,0,0,0,0,2,60,12,52,600,385,,0,4,,15,,8,43,9,20,,,300,2,5
C.M.-CAJABAMBA_per_2017-03,1077,,503,86,503,2,185,167,1,2,,,,,,,,,,,,,,,,,,,,2,2,,1,,2,2,12,,6,4,2,335,849,195,1,110,120,1,1,1990,1768,2733,2535,17,16,34,32,25,64,11,27,658,310,,0,11,,11,,8,23,9,19,,,208,2,3
C.M.-CAJABAMBA_per_2017-04,833,,472,77,472,1,150,148,1,1,,,,,,,,,,,,,,,,,,,,0,0,,0,,0,0,13,,4,7,2,343,870,206,1,110,110,1,1,1949,1724,1203,1076,19,19,38,38,23,65,9,32,504,307,,4,3,,17,,8,37,23,23,,,187,0,21
C.M.-CAJABAMBA_per_2017-05,749,,368,80,368,1,150,150,1,1,,,,,,,,,,,,,,,,,,,,1,1,,1,,1,1,19,,7,12,0,339,848,199,1,110,120,1,1,1873,1643,1461,1261,17,17,34,34,13,45,8,23,546,303,,0,4,,16,,8,26,10,20,,,122,9,0
C.M.-CAJABAMBA_per_2017-06,733,,297,78,297,2,184,168,1,2,,,,,,,,,,,,,,,,,,,,4,4,,1,,4,4,16,,4,11,1,341,784,162,1,110,115,1,1,1601,1382,1287,997,10,10,20,20,25,37,5,17,498,318,,0,5,,10,,3,24,4,19,,,314,19,5
C.M.-CAJABAMBA_per_2017-07,660,,248,54,248,1,140,127,1,1,,,,,,,,,,,,,,,,,,,,0,0,,1,,0,0,10,,1,9,0,0,0,0,0,0,0,0,0,1483,1308,1444,1179,21,21,42,42,12,53,10,17,503,291,,0,7,,17,,4,25,3,23,,,300,21,3
C.M.-CAJABAMBA_per_2017-08,941,,254,54,254,2,200,180,1,2,,,,,,,,,,,,,,,,,,,,0,0,,1,,0,0,15,,4,11,0,374,953,182,1,120,125,1,1,1945,1708,2770,2446,44,44,88,88,18,60,8,57,520,413,,0,6,,17,,8,23,14,21,,,352,35,5
C.M.-CAJABAMBA_per_2017-09,878,,218,73,218,2,180,176,1,2,,,,,,,,,,,,,,,,,,,,0,0,,0,,0,0,7,,1,4,2,358,910,104,1,120,125,1,1,1790,1594,2334,2094,32,32,64,64,8,56,8,45,433,351,,0,9,,12,,4,26,21,21,,,377,11,11
C.M.-CAJABAMBA_per_2017-10,739,,149,58,149,1,150,145,1,2,,,,,,,,,,,,,,,,,,,,1,1,,1,,1,1,16,,4,12,0,346,877,138,1,120,125,1,1,1628,1417,2018,1815,31,31,60,60,8,33,8,40,432,332,,0,8,,18,,4,22,18,21,,,352,2,5
C.M.-CAJABAMBA_per_2017-11,866,,195,55,195,1,144,144,1,1,,,,,,,,,,,,,,,,,,,,1,1,,1,,1,1,10,,1,6,3,332,843,115,1,111,115,1,1,1994,1718,1988,1850,21,21,42,42,8,37,3,37,348,388,,0,8,,24,,4,18,14,28,,,411,2,8
C.M.-CAJABAMBA_per_2017-12,573,,105,49,105,1,110,105,1,1,,,,,,,,,,,,,,,,,,,,0,0,,0,,0,0,10,,1,7,2,326,827,108,1,107,110,1,1,1440,1192,1428,1423,17,17,34,34,7,91,6,15,356,195,,0,8,,11,,4,21,12,0,,,271,1,9
C.M.-CALCA_per_2017-01,1130,,890,75,890,3,282,282,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,7,27,1,316,801,230,1,100,104,1,1,1393,1178,2412,2091,233,182,241,190,0,46,6,34,272,,,0,,,2,,2,2,,2,,,,,
C.M.-CALCA_per_2017-02,792,,397,28,396,2,184,184,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,4,56,4,74,169,44,1,24,24,1,1,1958,1565,2647,2179,110,100,110,100,23,86,6,43,154,,,0,,,4,,4,2,,3,,,,,
C.M.-CALCA_per_2017-03,1040,,380,47,380,3,259,259,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,8,47,0,236,580,124,1,88,88,1,1,2370,2002,3472,3283,110,108,110,108,17,51,5,65,114,,,2,,,4,,3,0,,4,,,,,
C.M.-CALCA_per_2017-04,872,,294,38,289,3,238,216,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,7,38,11,217,521,86,1,88,100,1,1,2134,1745,2198,1980,153,149,153,149,1,34,5,49,124,,,0,,,2,,3,0,,1,,,,,
C.M.-CALCA_per_2017-05,992,,282,54,282,3,272,272,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,11,64,0,254,608,97,1,96,96,1,1,2542,1953,1191,1093,101,97,101,97,5,63,4,76,257,,,0,,,0,,2,0,,0,,,,,
C.M.-CALCA_per_2017-06,976,,271,46,269,3,240,240,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,8,45,1,304,650,140,1,92,92,1,1,2184,1716,1133,1009,167,151,167,151,12,25,3,68,172,,,0,,,0,,2,0,,0,,,,,
C.M.-CALCA_per_2017-07,984,,193,45,189,3,225,225,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,6,35,0,291,639,104,1,92,92,1,1,2127,1825,1289,1164,180,160,180,160,8,47,5,63,141,,,0,,,1,,2,0,,1,,,,,
C.M.-CALCA_per_2017-08,935,,174,31,170,3,213,213,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,73,,12,61,0,234,520,87,1,72,72,1,1,2348,1828,1497,1364,114,95,114,95,0,0,6,49,179,,,0,,,1,,4,0,,1,,,,,
C.M.-CALCA_per_2017-09,1120,,241,70,238,3,260,260,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,12,50,0,322,674,125,1,96,96,1,1,2285,1973,2243,2097,188,174,188,174,14,97,4,77,173,,,0,,,0,,2,0,,1,,,,,
C.M.-CALCA_per_2017-10,1149,,268,61,265,3,261,261,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,11,60,0,286,606,91,1,100,100,1,1,2434,1932,1916,1877,122,119,122,119,15,61,4,95,91,,,0,,,0,,2,0,,0,,,,,
C.M.-CALCA_per_2017-11,1043,,209,57,208,3,241,241,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,8,47,0,257,586,71,1,88,88,1,1,2232,1932,1386,1170,93,92,93,92,17,82,1,74,140,,,0,,,0,,2,2,,1,,,,,
C.M.-CALCA_per_2017-12,945,,175,50,173,3,270,242,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,8,26,1,166,379,42,1,56,60,1,1,2131,1792,1373,1120,110,109,110,109,15,37,6,59,141,,,0,,,1,,3,0,,0,,,,,
C.M.-CARAZ_per_2017-01,1450,,1191,140,1191,4,294,294,2,3,,,,,,,,,,,,,,,,,,,,0,0,,,,0,0,175,0,0,173,2,362,751,284,1,122,126,1,1,3623,2206,2145,1028,139,126,176,160,0,42,6,231,768,284,,2,0,,3,,3,0,0,16,,,297,,0
C.M.-CARAZ_per_2017-02,1553,,837,129,837,4,312,312,2,3,,,,,,,,,,,,,,,,,,,,0,0,,,,0,0,173,2,4,165,2,258,524,172,1,88,91,1,1,3490,2179,1728,513,102,99,165,144,19,26,4,179,751,267,,0,0,,3,,3,0,0,8,,,344,,0
C.M.-CARAZ_per_2017-03,1545,,683,133,683,4,298,298,2,3,,,,,,,,,,,,,,,,,,,,0,0,,,,0,0,195,0,4,186,5,303,623,180,1,100,100,1,1,3804,2341,1969,627,199,160,223,182,8,56,4,146,657,264,,5,3,,7,,4,5,0,17,,,320,,0
C.M.-CARAZ_per_2017-04,1360,,536,126,536,4,263,263,2,3,,,,,,,,,,,,,,,,,,,,0,0,,,,0,0,165,0,4,157,4,299,616,169,1,102,102,1,1,3309,2063,1774,554,94,88,128,128,30,55,2,134,850,265,,10,8,,10,,5,10,5,18,,,298,,5
C.M.-CARAZ_per_2017-05,1462,,486,95,486,4,292,288,2,3,,,,,,,,,,,,,,,,,,,,0,0,,,,0,0,169,0,3,163,3,292,590,165,1,101,103,1,1,3454,2249,1050,273,99,97,110,108,5,33,4,99,959,256,,5,5,,2,,8,2,4,9,,,285,,4
C.M.-CARAZ_per_2017-06,1381,,408,121,408,4,268,268,2,3,,,,,,,,,,,,,,,,,,,,0,0,,,,0,0,161,0,2,154,5,310,629,157,1,103,107,1,1,3454,2029,1453,396,100,98,113,113,8,36,4,139,939,279,,2,14,,4,,4,7,3,6,,,291,,6
C.M.-CARAZ_per_2017-07,1328,,315,75,315,4,266,266,2,3,,,,,,,,,,,,,,,,,,,,0,0,,,,0,0,159,0,1,154,4,305,629,147,1,99,103,1,1,3402,2457,1317,239,139,115,141,114,13,25,6,144,1082,253,,5,11,,5,,5,4,4,5,,,300,,3
C.M.-CARAZ_per_2017-08,1470,,432,136,432,4,284,280,2,3,,,,,,,,,,,,,,,,,,,,2,2,,,,2,2,239,0,3,230,6,310,654,132,1,102,106,1,1,3977,2327,1359,267,114,112,136,133,23,63,6,149,936,270,,10,10,,4,,4,7,3,8,,,265,,4
C.M.-CARAZ_per_2017-09,1590,,373,144,373,4,311,311,2,3,,,,,,,,,,,,,,,,,,,,0,0,,,,0,0,178,0,2,165,11,307,675,108,1,108,108,1,1,4032,2389,1704,394,79,76,96,92,13,65,9,168,899,274,,16,10,,6,,4,9,0,6,,,294,,6
C.M.-CARAZ_per_2017-10,1611,,385,162,385,4,218,218,2,3,,,,,,,,,,,,,,,,,,,,0,0,,,,0,0,182,0,0,178,4,261,642,97,1,91,91,1,1,4268,2458,1844,285,180,172,190,169,31,67,5,240,930,186,,15,1,,6,,6,8,0,6,,,224,,0
C.M.-CARAZ_per_2017-11,1633,,268,103,268,4,301,297,2,3,,,,,,,,,,,,,,,,,,,,1,1,,,,1,1,218,0,3,205,10,321,741,317,1,109,109,1,1,4520,3020,1539,331,181,175,244,242,0,49,3,153,987,231,,10,10,,6,,4,3,2,6,,,205,,0
