,Consultas,Consultas de Atención Inmediata,Consultantes al Establecimiento,Consultantes Nuevos,Consultantes Asegurados,Médicos,Horas Médicas Programadas,Horas Médicas Efectivas,Consultorios Fisicos,Consultorios Funcionales,Egresos,Estancias,Pacientes dias,Dias cama disponible,Camas hospitalarias,Def. antes 48 hrs,Def. despues 48 hrs,Reingresos,Total I.Q.,Cirugia Mayor de AC,Cirugia Menor de MC,Cirugia Mayor de BC,Cirugia Menor de AR,Cirugia Menor de BR,Horas Uso Sala,Horas Programadas,Salas Quirúrgicas,Operaciones Suspendidas,Intervenciones Q Programadas,Total partos,Partos sin complicación,Partos con complicación,Sala de partos,Cesareas,Nacimientos,Nacidos vivos,Total de atenciones,Prioridad I,Prioridad II,Prioridad III,Prioridad IV,Sesiones Odontológicas,Trabajos Odontológicos,Consultantes de odontología,Odontólogos,Horas odontológicas efecivas,Horas odontológicas programadas,Consultorios fisicos Odontólogi,Consultorios funcional Odontó ,Recetas despachadas,Recetas despachadas C E,Análisis de laboratorio,Análisis de laboratorio C E,Exámenes radiológicos,Exámenes radiológicos C E,Placas radiológicas,Placas radiológicas C E,Mamografias Preventivas,Muestras Porcesas x PAP,3era. Dosis Pentavalente,Primera Consulta Médico Prev,Control de Enfermería,Control de nutrición,Control de Trabajo Social,Educación Grupal de enfermería,Educación Grupal de Nutrución,Educación Grupal Trabajo Social,Educación Grupal de Obstetricia,Psicoprofilaxis de Nutrición,Psicoprofilaxis de Obstetricia,Visitas Domiciliarias de Enferm,Visitas Domiciliarias de Nutric,Visitas Domiciliarias de Obstet,Visitas Domiciliarias de T S,Psicoprofilaxis de Enfermería,Atenciones Psicología,Psicoprofilaxis de Psicología,Visitas Domiciliarias de Psicol
P.M.-OLMOS_per_2017-12,318,,77,40,77,1,92,80,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,0,4,7,60,156,28,1,20,72,1,1,552,519,,,,,,,6,0,2,0,172,,,,,,6,,0,0,,1,,,,,
P.M.-OMATE_per_2017-01,632,,472,19,472,1,126,126,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,,,12,211,686,96,1,64,64,1,1,1165,971,,,,,,,0,21,0,316,143,,,11,,,10,,2,15,,14,,3,,,
P.M.-OMATE_per_2017-02,628,,468,35,468,1,125,125,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0,,,9,110,411,50,1,66,66,1,1,1196,1066,,,,,,,0,20,2,314,298,,,14,,,11,,9,14,,13,,4,,,
P.M.-OMATE_per_2017-03,674,,355,25,355,1,126,126,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0,,,9,328,910,86,1,100,100,1,1,1231,1087,,,,,,,0,15,0,337,344,,,10,,,33,,24,12,,32,,3,,,
P.M.-OMATE_per_2017-04,496,,225,20,225,1,112,106,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,,,8,302,679,82,1,100,100,1,1,1010,890,,,,,,,10,17,2,248,324,,,10,,,30,,10,10,,10,,1,,,
P.M.-OMATE_per_2017-05,587,,265,24,265,1,116,116,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0,,,9,308,750,84,1,100,100,1,1,1239,1054,,,,,,,9,19,0,293,295,,,10,,,19,,8,21,,21,,1,,,
P.M.-OMATE_per_2017-06,559,,208,28,208,1,106,106,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,,,6,310,769,53,1,100,100,1,1,1018,862,,,,,,,9,5,1,280,363,,,10,,,11,,9,15,,15,,1,,,
P.M.-OMATE_per_2017-07,508,,164,15,164,1,101,101,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,,,8,301,874,57,1,100,100,1,1,1038,912,,,,,,,0,12,1,254,319,,,10,,,11,,4,23,,14,,1,,,
P.M.-OMATE_per_2017-08,362,,158,21,158,1,73,72,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,,,6,302,822,55,1,100,100,1,1,754,648,,,,,,,9,0,0,181,312,,,10,,,0,,0,12,,0,,1,,,
P.M.-OMATE_per_2017-09,487,,126,28,126,1,88,88,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,,,6,304,619,40,1,100,100,1,1,971,875,,,,,,,19,3,1,424,299,,,10,,,11,,4,10,,0,,0,,,
P.M.-OMATE_per_2017-10,590,,107,25,107,1,100,100,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,12,4,,,8,302,680,25,1,100,100,1,1,900,788,,,,,,,8,20,2,263,194,,,10,,,10,,0,15,,10,,0,,,
P.M.-OMATE_per_2017-11,357,,126,15,126,1,68,68,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,,,7,274,548,40,1,88,100,1,1,944,638,,,,,,,0,17,0,179,216,,,10,,,12,,1,10,,15,,0,,,
P.M.-OMATE_per_2017-12,704,,235,66,235,1,120,120,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,,,5,246,492,55,1,82,82,1,1,1119,1092,,,,,,,0,4,3,352,343,,,10,,,0,,0,10,,0,,0,,,
P.M.-OYON_per_2017-01,1070,,264,32,264,1,232,232,1,2,,,,,,,,,,,,,,,,,,,,0,0,,1,,0,0,10,,3,7,0,387,889,75,1,122,122,1,1,3691,3184,352,265,,,,,,9,3,16,152,,,3,,,3,,2,3,,0,,,,,
P.M.-OYON_per_2017-02,993,,455,27,455,1,246,246,1,2,,,,,,,,,,,,,,,,,,,,0,0,,1,,1,1,5,,2,3,0,386,867,121,1,126,126,1,1,3243,2747,363,306,,,,,,13,4,11,145,,,3,,,2,,1,1,,0,,,,,
P.M.-OYON_per_2017-03,1056,,458,27,458,1,239,239,1,2,,,,,,,,,,,,,,,,,,,,0,0,,1,,0,0,14,,6,8,0,399,945,177,1,130,130,1,1,3494,3005,314,256,,,,,,11,3,11,129,,,3,,,2,,2,1,,0,,,,,
P.M.-OYON_per_2017-04,941,,323,29,323,1,216,216,1,2,,,,,,,,,,,,,,,,,,,,0,0,,1,,0,0,12,,3,9,0,380,982,191,1,122,122,1,1,3375,3077,192,192,,,,,,16,5,8,137,,,3,,,2,,2,1,,0,,,,,
P.M.-OYON_per_2017-05,1191,,338,40,338,1,250,250,1,2,,,,,,,,,,,,,,,,,,,,1,1,,1,,1,1,15,,4,11,0,385,1073,163,1,124,124,1,1,4173,3750,251,215,,,,,,12,4,22,134,,,4,,,1,,0,1,,0,,,,,
P.M.-OYON_per_2017-06,1110,,311,45,311,1,233,233,1,2,,,,,,,,,,,,,,,,,,,,0,0,,1,,0,0,25,,7,18,0,372,1149,176,1,127,127,1,1,3807,3384,170,118,,,,,,26,4,22,140,,,3,,,3,,0,1,,0,,,,,
P.M.-OYON_per_2017-07,1075,,232,29,232,1,244,244,1,2,,,,,,,,,,,,,,,,,,,,0,0,,1,,0,0,11,,5,6,0,235,750,96,1,93,93,1,1,3394,3044,191,150,,,,,,38,5,2,149,,,4,,,1,,0,1,,0,,,,,
P.M.-OYON_per_2017-08,1205,,207,34,207,1,265,265,1,2,,,,,,,,,,,,,,,,,,,,0,0,,1,,0,0,13,,3,10,0,299,875,120,1,114,114,1,1,3786,3452,346,234,,,,,,45,3,16,132,,,6,,,6,,3,2,,6,,,,,
P.M.-OYON_per_2017-09,1134,,193,31,193,1,245,245,1,2,,,,,,,,,,,,,,,,,,,,1,1,,1,,1,1,17,,7,10,0,346,1111,149,1,116,116,1,1,3966,3576,435,348,,,,,,38,3,1,143,,,5,,,4,,2,2,,0,,,,,
P.M.-OYON_per_2017-10,1220,,184,33,184,1,248,248,1,2,,,,,,,,,,,,,,,,,,,,1,1,,1,,1,1,28,,5,23,0,323,1082,116,1,115,115,1,1,4161,3748,377,256,,,,,,25,5,11,136,,,6,,,4,,4,1,,6,,,,,
P.M.-OYON_per_2017-11,1180,,147,38,147,1,233,233,1,2,,,,,,,,,,,,,,,,,,,,1,1,,1,,1,1,17,,2,3,12,299,2113,104,1,113,113,1,1,4690,4233,502,382,,,,,,0,3,16,131,,,4,,,4,,2,1,,4,,,,,
P.M.-OYON_per_2017-12,956,,106,28,106,1,214,214,1,2,,,,,,,,,,,,,,,,,,,,1,1,,1,,1,1,11,,2,9,0,233,814,72,1,107,107,1,1,3007,2692,223,163,,,,,,32,4,22,138,,,6,,,4,,3,1,,6,,,,,
