,CONSULTANTES ASEGURADOS,CONSULTANTES DEL SERVICIO,CONSULTANTES NUEVOS,CONSULTAS CAI,CONSULTORIO FUNCIONAL,CONSULTORIOS FISICOS,HORAS MEDICAS EFECTIVAS,HORAS MEDICAS PROGRAMADAS,MEDICOS,TOTAL CONSULTANTES,TOTAL CONSULTAS,CONSULTAS MEDICINA COMPLEMENTARIA,CAMAS HOSPITALARIAS,DEFUNCIONES ANTES 48 HORAS,DEFUNCIONES DESPUES 48 HORAS,DIAS CAMA DISPONIBLES,EGRESOS,ESTANCIA,PACIENTES DIA,REINGRESOS,PACIENTE DIA UNIDAD CORONARIA,CIRUGIA MAYOR ALTA COMPLEJIDAD,CIRUGIA MAYOR BAJA COMPLEJIDAD,CIRUGIA MAYOR MEDIANA COMPLEJIDAD,CIRUGIA MENOR ALTO REQUERIMIENTO,CIRUGIA MENOR BAJO REQUERIMIENTO,HORAS PROGRAMADAS INTERVENCION QUIRURGIC,HORAS USO DE SALA,INTERVENCION QUIRURGICA PROGRAMADAS,INTERVENCIONES QUIRURGICAS SUSPENDIDAS,SALAS QUIRURGICAS FUNCIONALES,CESAREAS,NACIDOS VIVOS,NACIMIENTOS,PARTOS CON COMPLICACION,PARTOS SIN COMPLICACION,N° SALAS DE PARTOS,PACIENTE DIA - PARTOS COMPLICADOS,PACIENTE DIA - PARTOS SIN COMPLICACIÓN,ATENCIONES DE EMERGENCIA I,ATENCIONES DE EMERGENCIA II,ATENCIONES DE EMERGENCIA III,ATENCIONES DE EMERGENCIA IV,EGRESO PACIENTE <=24 HORAS,EGRESO PACIENTE > 24 HORAS,CONSULTANTES ODONTOLOGICOS,CONSULTORIOS FISICOS ODONTOLOGIA,CONSULTORIOS FUNCIONALES ODONTOLOGIA,HORAS ODONTOLOGICAS EFECTIVAS,HORAS ODONTOLOGICAS PROGRAMADAS,ODONTOLOGOS,SESIONES ODONTOLOGICAS,TRABAJOS ODONTOLOGICOS,ANALISIS LABORATORIO CE,EXAMENES DE LABORATORIO,EXAMENES RADIOLOGICOS,EXAMENES RADIOLOGICOS CE,PLACAS RADIOLOGICAS,PLACAS RADIOLOGICAS CE,RECETAS DESPACHADAS,RECETAS DESPACHADAS CE,MENORES 1 AÑO TERCERA DOSIS PENTAVALENTE,MUESTRAS PROCESADAS X PAP CERVICO VAGINA,PRIMERA CONSULTA EXTERNA M. PREVENTIVA,CRED ADOLESCENTES,CRED NIÑOS,MAMOGRAFIAS PREVENTIVAS 50 A 74 (RESULTA,ACTIVIDADES EDUCACION GRUPAL TS,ATENCIONES PSICOLOGICAS,CONTROL DE ENFERMERIA,CONTROL DE NUTRICION,CONTROL DE OBSTETRICIA,CONTROL DE TRABAJO SOCIAL,EDUCACION GRUPAL DE ENFERMERIA,EDUCACION GRUPAL DE NUTRICION,EDUCACION GRUPAL DE OBSTETRICIA,PSICOPROFILAXIS DE NUTRICION,PSICOPROFILAXIS DE OBSTETRICIA,PSICOPROFILAXIS ENFERMERIA,VISITAS DOMICILIARIAS,VISITAS DOMICILIARIAS DE NUTRICION,VISITAS DOMICILIARIAS DE OBSTETRICIA,VISITAS DOMICILIARIAS TS,PERSONAL DE ENFERMERIA,PERSONAL DE OBSTETRICIA,PSICOPROFILAXIS DE PSICOLOGIA,VISITAS DOMICILIARIAS DE PSICOLOGIA,PSICOPROFILAXIS TS
H.I CARLOS ALCANTARA BUTERFIELD _per_2015-01,13357,14829,453,1931,46,20,3640,3790,94,13357,16947,330,49,0,3,1519,410,1302,1162,5,0,0,167,111,129,0,242,217,333,14,3,31,100,100,32,68,1,113,135,53,1124,5344,3,358,71,1321,3,8,638,782,9,1775,5584,35167,45376,2340,1755,2093,2093,76018,49435,89,1114,3234,10,1070,282,32,445,1234,234,2884,454,28,2,0,0,92,0,0,0,0,17,73,20,21,0,0
H.I CARLOS ALCANTARA BUTERFIELD _per_2015-02,9973,13423,716,1632,46,20,3759,4132,94,9973,17384,339,47,0,4,1316,403,1264,1131,9,0,0,179,107,79,0,282,280,285,9,3,34,80,80,34,46,1,136,93,40,202,4807,4,122,14,1239,3,8,720,884,9,2118,6533,32406,42532,2331,1445,1580,1519,72987,49454,69,1347,3100,16,953,314,27,275,2414,249,2913,355,13,0,28,0,44,0,0,0,0,10,72,20,23,0,0
H.I CARLOS ALCANTARA BUTERFIELD _per_2015-03,7920,11716,982,2349,46,20,4213,4550,88,7920,19513,384,50,0,2,1550,437,1419,1476,7,0,0,158,150,107,0,298,286,338,12,3,33,91,92,33,58,1,121,102,20,1424,4250,4,418,27,788,3,8,600,808,7,1766,4858,31902,43777,2837,1725,2293,2293,82776,56549,99,1184,3601,7,1153,332,24,351,2686,534,3145,415,33,8,39,0,66,0,1,0,0,4,72,21,41,0,0
H.I CARLOS ALCANTARA BUTERFIELD _per_2015-04,6830,10898,1054,2066,46,20,4207,4487,94,6830,29088,341,49,1,4,1470,443,1383,1307,1,0,0,171,150,97,0,352,352,339,23,3,27,83,83,27,56,1,90,118,59,1387,4221,3,566,22,994,3,8,760,912,9,2137,5922,39878,50667,2657,1684,2464,2464,81726,57657,80,1166,3769,3,1104,268,20,381,2425,839,2932,436,26,8,28,0,44,0,2,0,0,14,72,21,22,0,0
H.I CARLOS ALCANTARA BUTERFIELD _per_2015-05,4788,8759,767,1819,46,20,3679,4179,94,4788,18247,311,48,0,5,1488,411,1250,1298,5,0,0,161,108,138,0,546,347,355,29,3,28,94,94,28,66,1,118,112,91,1189,4740,4,374,38,888,3,8,772,916,9,2083,5780,43877,53514,2436,1403,2263,2257,82581,56572,80,1036,3163,9,927,277,9,261,2696,518,2313,183,23,5,13,0,66,0,3,0,0,14,72,21,19,0,0
H.I CARLOS ALCANTARA BUTERFIELD _per_2015-06,4376,8310,805,1378,46,20,4023,4362,99,4376,18722,339,46,0,3,1380,381,1274,1251,7,0,0,174,134,99,0,550,334,360,23,3,23,82,82,23,59,1,80,116,27,542,5276,16,203,17,797,3,8,844,960,10,2245,6339,38395,49341,2798,1764,2872,2872,80075,54516,70,880,3023,1,896,480,7,313,1912,627,2922,433,43,8,4,0,42,0,0,0,0,10,72,21,30,0,0
H.I CARLOS ALCANTARA BUTERFIELD _per_2015-07,3724,7249,862,1138,46,20,3702,4044,98,3724,17312,266,49,0,3,1519,397,1300,1325,2,0,0,200,119,112,0,498,463,346,13,3,26,90,90,26,64,1,94,106,83,1251,4117,19,398,44,777,3,8,890,946,10,2378,6805,30382,41239,2216,1141,2000,2000,74702,51033,83,799,3008,18,1056,316,11,302,2366,364,2664,385,48,2,7,0,20,0,1,0,0,6,72,21,24,0,0
H.I CARLOS ALCANTARA BUTERFIELD _per_2015-08,3386,6316,1621,1392,46,20,3069,3634,99,3386,15235,170,48,0,5,1488,399,1296,1210,5,0,0,176,141,119,0,534,489,357,14,3,34,91,91,34,57,1,137,93,72,1068,4167,21,424,19,781,3,8,768,844,10,2102,5921,32065,42765,2453,1474,2794,2792,70101,47541,72,934,2653,14,853,315,10,220,2390,329,2173,253,58,4,8,0,7,0,2,0,0,2,72,21,22,0,0
H.I CARLOS ALCANTARA BUTERFIELD _per_2015-09,5855,10695,4768,1509,46,20,4081,4471,101,5855,18936,230,47,2,4,1410,440,1264,1251,4,0,0,175,132,125,0,534,477,362,20,3,29,93,93,29,64,1,125,97,69,1123,4406,8,412,14,1238,3,8,839,968,10,2272,6434,39360,49476,2917,1878,1909,1909,78580,52975,83,1020,3238,9,1026,279,19,444,2192,471,2891,428,43,8,13,0,23,0,0,0,0,11,72,21,24,0,0
H.I CARLOS ALCANTARA BUTERFIELD _per_2015-10,5300,10879,5005,1254,46,20,3889,4336,97,5300,17994,88,48,0,0,1488,418,1279,1260,5,0,0,163,117,96,0,468,409,305,15,3,32,84,84,32,52,1,110,93,67,1138,4055,4,425,19,926,3,8,822,940,10,2271,6185,28855,38755,2562,1535,991,991,76270,50920,91,824,3021,2,1058,331,12,364,2341,318,2830,200,29,4,9,0,24,0,0,0,0,11,72,21,24,0,0
