,CONSULTANTES ASEGURADOS,CONSULTANTES DEL SERVICIO,CONSULTANTES NUEVOS,CONSULTAS CAI,CONSULTORIO FUNCIONAL,CONSULTORIOS FISICOS,HORAS MEDICAS EFECTIVAS,HORAS MEDICAS PROGRAMADAS,MEDICOS,TOTAL CONSULTANTES,TOTAL CONSULTAS,CAMAS HOSPITALARIAS,DEFUNCIONES ANTES 48 HORAS,DEFUNCIONES DESPUES 48 HORAS,DIAS CAMA DISPONIBLES,EGRESOS,ESTANCIA,PACIENTES DIA,REINGRESOS,PACIENTE DIA UNIDAD CORONARIA,CIRUGIA MAYOR ALTA COMPLEJIDAD,CIRUGIA MAYOR BAJA COMPLEJIDAD,CIRUGIA MAYOR MEDIANA COMPLEJIDAD,CIRUGIA MENOR ALTO REQUERIMIENTO,CIRUGIA MENOR BAJO REQUERIMIENTO,HORAS PROGRAMADAS INTERVENCION QUIRURGIC,HORAS USO DE SALA,INTERVENCION QUIRURGICA PROGRAMADAS,INTERVENCIONES QUIRURGICAS SUSPENDIDAS,SALAS QUIRURGICAS FUNCIONALES,CESAREAS,NACIDOS VIVOS,NACIMIENTOS,PARTOS CON COMPLICACION,PARTOS SIN COMPLICACION,N° SALAS DE PARTOS,PACIENTE DIA - PARTOS COMPLICADOS,PACIENTE DIA - PARTOS SIN COMPLICACIÓN,ATENCIONES DE EMERGENCIA I,ATENCIONES DE EMERGENCIA II,ATENCIONES DE EMERGENCIA III,ATENCIONES DE EMERGENCIA IV,PACIENTE DIA <=24 HORAS,PACIENTE DIA > 24 HORAS,CONSULTANTES ODONTOLOGICOS,CONSULTORIOS FISICOS ODONTOLOGIA,CONSULTORIOS FUNCIONALES ODONTOLOGIA,HORAS ODONTOLOGICAS EFECTIVAS,HORAS ODONTOLOGICAS PROGRAMADAS,ODONTOLOGOS,SESIONES ODONTOLOGICAS,TRABAJOS ODONTOLOGICOS,ANALISIS LABORATORIO CE,EXAMENES DE LABORATORIO,EXAMENES RADIOLOGICOS,EXAMENES RADIOLOGICOS CE,PLACAS RADIOLOGICAS,PLACAS RADIOLOGICAS CE,RECETAS DESPACHADAS,RECETAS DESPACHADAS CE,MENORES 1 AÑO TERCERA DOSIS PENTAVALENTE,MAMOGRAFIAS PREVENTIVAS 40 A 65 (RESULTA,MUESTRAS PROCESADAS X PAP CERVICO VAGINA,PRIMERA CONSULTA EXTERNA M. PREVENTIVA,CRED ADOLESCENTES,CRED NIÑOS,ACTIVIDADES EDUCACION GRUPAL TS,ATENCIONES PSICOLOGICAS,CONTROL DE ENFERMERIA,CONTROL DE NUTRICION,CONTROL DE OBSTETRICIA,CONTROL DE TRABAJO SOCIAL,EDUCACION GRUPAL DE ENFERMERIA,EDUCACION GRUPAL DE NUTRICION,EDUCACION GRUPAL DE OBSTETRICIA,PSICOPROFILAXIS DE NUTRICION,PSICOPROFILAXIS DE OBSTETRICIA,PSICOPROFILAXIS ENFERMERIA,VISITAS DOMICILIARIAS,VISITAS DOMICILIARIAS DE NUTRICION,VISITAS DOMICILIARIAS DE OBSTETRICIA,VISITAS DOMICILIARIAS TS,PERSONAL DE ENFERMERIA,PERSONAL DE OBSTETRICIA,PSICOPROFILAXIS DE PSICOLOGIA,VISITAS DOMICILIARIAS DE PSICOLOGIA,PSICOPROFILAXIS TS
CAP I DESAGUADERO _per_2014-08,80,80,22,0,1,1,97,105,1,80,518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,86,1,1,102,102,1,311,770,539,558,0,0,0,0,1003,929,1,2,10,38,8,32,0,0,495,301,388,0,2,1,6,0,6,0,3,1,3,0,1,1,0,0,0
CAP I DESAGUADERO _per_2014-09,70,70,27,0,1,1,101,101,1,70,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,63,1,1,101,101,1,304,775,545,584,0,0,0,0,884,819,1,3,20,31,14,31,0,0,484,260,279,0,2,2,4,0,6,0,30,2,5,0,1,1,0,0,0
CAP I DESAGUADERO _per_2014-10,65,65,23,0,1,1,100,100,1,65,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,77,1,1,103,103,1,311,795,569,600,0,0,0,0,907,849,1,5,13,33,9,36,0,0,494,230,276,0,2,1,7,0,7,0,3,1,3,0,1,1,0,0,0
CAP I DESAGUADERO _per_2014-11,75,75,35,0,1,1,100,100,1,75,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,102,1,1,100,100,1,302,793,566,599,0,0,0,0,1020,919,2,10,8,34,9,47,0,0,477,261,327,0,2,2,13,0,9,0,22,1,8,0,1,1,0,0,0
CAP I DESAGUADERO _per_2014-12,86,86,47,0,1,1,102,102,1,86,519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,1,1,102,102,1,311,793,509,549,0,0,0,0,1012,899,3,2,33,35,13,35,0,0,514,294,381,0,3,0,10,0,6,0,32,3,6,0,1,1,0,0,0
CAP I DESAGUADERO _per_2014-TOTAL,1761,1761,362,0,1,1,1195,1203,1,1761,6140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,19,0,3,0,1345,1,1,1221,1221,1,3701,9094,5823,6406,0,0,0,0,11437,10392,18,39,155,440,126,468,0,0,6105,3498,4439,0,40,20,52,0,47,0,113,18,35,0,12,12,0,0,0
CAP I ECHARATE _per_2014-01,173,173,81,0,1,1,37,37,1,173,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283,283,0,0,6,37,3,10,0,0,173,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0
CAP I ECHARATE _per_2014-02,138,138,57,0,1,1,39,39,1,138,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357,357,0,0,3,21,4,9,0,0,191,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
CAP I ECHARATE _per_2014-03,105,105,59,0,1,1,35,35,1,105,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,331,0,0,6,22,2,8,0,0,172,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
CAP I ECHARATE _per_2014-04,99,99,54,0,1,1,42,42,1,99,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368,368,0,0,1,23,1,6,0,0,205,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0
CAP I ECHARATE _per_2014-05,69,69,34,0,1,1,34,34,1,69,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307,307,0,0,0,6,0,12,0,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CAP I ECHARATE _per_2014-06,65,65,35,0,1,1,29,29,1,65,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283,283,0,0,0,11,1,2,0,0,145,0,0,0,0,0,0,0,0,2,4,0,0,0,1,0,0,0,0
CAP I ECHARATE _per_2014-07,56,56,24,0,1,1,29,29,1,56,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,257,0,0,0,10,0,3,0,0,144,0,0,0,0,0,0,0,0,4,3,0,0,0,1,0,0,0,0
CAP I ECHARATE _per_2014-08,58,58,18,0,1,1,33,33,1,58,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,278,0,0,0,11,0,7,0,0,162,0,0,0,2,0,0,0,0,4,2,0,0,0,1,0,0,0,0
CAP I ECHARATE _per_2014-09,52,52,14,0,1,1,29,29,1,52,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,269,0,0,0,8,0,0,0,0,140,0,0,0,0,0,0,0,0,3,2,0,0,0,1,0,0,0,0
CAP I ECHARATE _per_2014-10,64,64,20,0,1,1,36,36,1,64,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,312,0,0,1,9,0,6,0,0,172,0,0,0,0,0,0,0,0,4,4,0,0,0,1,0,0,0,0
CAP I ECHARATE _per_2014-11,33,33,13,0,1,1,25,25,1,33,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,246,0,0,0,9,0,7,0,0,118,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0
CAP I ECHARATE _per_2014-12,34,34,17,0,1,1,24,24,1,34,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,202,0,0,0,15,0,5,0,0,115,0,0,0,0,0,0,0,0,3,2,0,0,0,1,0,0,0,0
CAP I ECHARATE _per_2014-TOTAL,946,946,426,0,1,1,392,392,1,946,1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3493,3493,0,0,17,182,11,75,0,0,1908,0,0,0,2,0,0,0,0,27,25,0,0,0,12,0,0,0,0
CAP I EL PEDREGAL _per_2014-01,730,730,119,0,3,3,218,218,3,730,1092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,208,1,1,92,92,1,276,804,0,0,0,0,0,0,2823,2004,11,7,6,46,12,149,0,0,918,144,139,0,3,2,1,0,1,0,0,0,0,0,4,1,0,0,0
CAP I EL PEDREGAL _per_2014-02,510,510,133,0,3,3,208,208,3,510,1068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,7,0,33,1,1,28,28,1,82,271,0,0,0,0,0,0,2675,1861,7,10,16,60,17,162,0,0,1292,155,224,0,13,9,2,0,1,0,0,0,2,0,4,1,0,0,0
CAP I EL PEDREGAL _per_2014-03,402,402,156,0,3,3,255,255,3,402,1285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,5,0,126,1,1,74,74,1,223,657,0,0,0,0,0,0,3336,2306,18,6,55,70,13,154,0,0,1255,145,455,0,12,8,3,0,2,0,0,0,3,0,4,1,0,0,0
CAP I EL PEDREGAL _per_2014-04,147,147,107,0,3,3,248,248,3,147,1244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,15,0,128,1,1,78,78,1,234,715,0,0,0,0,0,0,3859,2515,10,10,67,13,13,137,0,0,1132,152,183,0,10,0,2,0,2,0,0,0,0,0,4,1,0,0,0
CAP I EL PEDREGAL _per_2014-05,98,98,77,0,2,2,195,195,2,98,978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,16,0,114,1,1,66,66,1,202,634,0,0,0,0,0,0,3068,2219,12,9,11,2,9,133,0,0,1682,224,274,0,13,7,3,0,2,0,0,0,2,0,4,1,0,0,0
